,avg_cache_hit_ratio,std_cache_hit_ratio,max_cache_hit_ratio,min_cache_hit_ratio,avg_latency,std_latency,total_requests,avg_hop_reduction
LRU,57.13120191350039,17.651806551068614,69.79166666666666,0.0,3.048701061461203e-07,2.8269897713268288e-08,800.0,-1.5004079330274862
LFU,54.37288730861455,16.71840651988429,71.0,0.0,3.5080689846741255e-07,2.7708234885306873e-08,800.0,-1.5969489441984903
FIFO,47.59583058472353,10.982357022550895,57.53424657534247,0.0,2.9853477051565783e-07,6.796850689743982e-08,800.0,-1.834145929534677
MRU,63.95065280387739,12.967940541938296,74.11764705882354,0.0,3.671417275605935e-07,6.376236621919612e-08,800.0,-1.2617271518642914
FACR,56.94659116590491,14.544652150889352,68.29268292682927,0.0,4.068174583979013e-07,4.3512897553427383e-08,800.0,-1.5068693091933278
RandomForest,54.68619750176348,9.079200861458363,63.26530612244898,0.0,5.613521368333707e-07,1.4314800828511823e-07,800.0,-1.585983087438278
