iteration,num_users,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
1,2,LMM-1,4,11.317565766692564,0.9444463645084155,24.93823348646566,3.481892499269025,0.8989392685598839,0.06318664891044477
1,2,LMM-2,4,10.8875,1.3235251225420699,22.930616351324012,3.6761466975571415,0.8582807564389505,0.0424266936983282
1,4,LMM-1,4,10.971082898777068,1.1864161937936208,24.103761991535748,3.949701951291342,0.8037672774821615,0.09278290493699226
1,4,LMM-2,4,10.56875,1.7761769865359704,22.274382598647254,4.541560554054079,0.7500558292213613,0.07992570087062123
1,6,LMM-1,4,10.708456223218143,1.0064646953724585,23.552119662496736,3.1690985645089085,0.7467060371639168,0.13421040267656317
1,6,LMM-2,4,10.183333333333334,1.4752589226603203,21.484073638834143,3.8309890383429708,0.6592977328735639,0.08788980254777443
1,8,LMM-1,4,10.75058321012314,1.378554962210359,23.688117664314,3.9232719255943946,0.6503743060747256,0.16855630634071664
1,8,LMM-2,4,9.76875,1.6314894460277705,20.764829613477634,4.207018122534335,0.5915006167200362,0.10352056340023902
2,2,LMM-1,4,18.5,3.0,37.481351620921146,6.211977598226017,0.7498667778679416,0.038384976753238154
2,2,LMM-2,4,18.325,3.175,37.087603943165576,6.723961874689987,0.7600436696539161,0.051601157550178134
2,4,LMM-1,4,17.75,3.0,36.19832740963528,6.211231158441263,0.5705736517747129,0.058235828321020255
2,4,LMM-2,4,17.0375,2.6375,34.58205285474969,5.58811565737672,0.6098210927265981,0.06809957402017214
2,6,LMM-1,4,17.333333333333336,1.833333333333334,35.509449129868436,3.8534044848477844,0.4347509414877674,0.04238095400750044
2,6,LMM-2,4,16.083333333333336,1.7666666666666675,32.84264473657831,3.708160844789754,0.49848365573112635,0.05491132389150971
2,8,LMM-1,4,16.133205504061895,1.664060908903929,33.51657645744449,3.4213160783142014,0.3962574384722782,0.056539930491809665
2,8,LMM-2,4,15.00625,1.4155525643719482,30.81698572169244,3.022021172345252,0.4233561816796214,0.04935598107786388
3,2,LMM-1,4,11.583566628339806,2.0563628756987535,25.135456314129264,4.674803017584157,0.9326927665969875,0.09703455636680337
3,2,LMM-2,4,11.0625,1.758328396517556,22.693477093833813,4.362309548805891,0.85124886084666,0.03217362932830035
3,4,LMM-1,4,11.695823138613006,1.720576400572368,25.533979158157756,4.265835053381309,0.8789066248425756,0.17117664240550431
3,4,LMM-2,4,10.94375,1.4366165763696312,22.44175028878166,3.9815066647024233,0.7460493003995052,0.055141008500167385
3,6,LMM-1,4,11.932568867539631,1.5842422771678797,25.953174851269438,3.8973723807680134,0.7901102751736954,0.19861461560600335
3,6,LMM-2,4,10.745833333333334,0.945264145916661,21.912604912543483,2.778960927812227,0.6724845810108326,0.05866634222354555
3,8,LMM-1,4,11.863205718560799,1.5915638255035451,25.780967227865734,3.8431631845684726,0.6944861149608359,0.20047252913054717
3,8,LMM-2,4,10.784375,0.9851385927243945,22.14881664920721,2.7001804311598643,0.5831361807096109,0.06440871220739684
4,2,LMM-1,4,11.216731091731685,0.37211442096286856,23.19270104805178,1.2481221045800512,0.9108714011905621,0.003639317431355308
4,2,LMM-2,4,10.6375,0.5029599884682678,20.94322168693998,1.3120451811048708,0.8751741224983351,0.02206964975031563
4,4,LMM-1,4,11.064837147480004,0.42507517028058134,23.345246699763024,1.4633753483251177,0.9006535643248903,0.006137173201939067
4,4,LMM-2,4,10.45,0.5960809508783181,20.616894385624967,1.4915586711754374,0.774943020490829,0.04192897070122319
4,6,LMM-1,4,10.550281152516757,0.29090973403553255,22.336830809670538,1.0150681475516148,0.8277675406951153,0.052234801841703773
4,6,LMM-2,4,9.829166666666666,0.13037073205968341,19.548497733331914,0.576990126058444,0.70523637336307,0.0354200922754712
4,8,LMM-1,4,10.287907475783479,0.4153590832020714,21.790535793981967,1.162725145623612,0.7654466407193344,0.09122464874076971
4,8,LMM-2,4,9.828125,0.49775864821718596,19.64243870263584,0.9826293637759549,0.6261260860726519,0.0411698843827494
5,2,LMM-1,4,12.625,3.416412592179112,25.753363749692188,7.755268799175672,0.8230226782182797,0.05358065649376501
5,2,LMM-2,4,11.5125,2.712557603075002,23.161789299862523,6.16627321119154,0.8674922321623328,0.0507884145547991
5,4,LMM-1,4,12.110563212957542,3.4526442490928733,25.24669813764042,7.3581535340614845,0.7763692291322944,0.1316586736813331
5,4,LMM-2,4,11.368749999999999,3.070595168285783,22.949029831737725,6.835013022040437,0.7559005178109212,0.0967926457639697
5,6,LMM-1,4,12.028489986756751,2.8755111289232365,25.25333701687963,5.916547136683532,0.7415057434975789,0.1785544400523412
5,6,LMM-2,4,10.908333333333333,2.5351555946112843,21.857004963754967,5.567611956500941,0.6882288991928228,0.1014780249425569
5,8,LMM-1,4,11.87512718328275,2.3387442982763105,24.887490723747362,4.744611869030037,0.6728493627506398,0.197965355775446
5,8,LMM-2,4,11.203125,1.829048911832322,22.382949030130277,4.051790273664442,0.5971185691241814,0.08868852900498665
6,2,LMM-1,4,10.797851479054767,1.5815419224672003,23.696107013722674,4.613474980892442,0.9378693026977909,0.055457556795324346
6,2,LMM-2,4,10.2,1.4304719500919967,21.19851869974208,3.9134739849867457,0.873038937048727,0.030770060495290782
6,4,LMM-1,4,10.524976492055242,1.2233610124606011,22.805361471944735,3.320782894815577,0.8759993591075081,0.11650791250202738
6,4,LMM-2,4,9.75625,1.034615719723995,20.02164481531465,2.910733377575621,0.7881869228677503,0.0472285706602584
6,6,LMM-1,4,10.141464434528359,0.9598990604358274,22.082662456890432,2.6744532928141225,0.805611203715504,0.15354465503309384
6,6,LMM-2,4,9.429166666666667,0.9273899305757715,19.616017475872667,2.5670034326939413,0.7016505809039775,0.05785982691836646
6,8,LMM-1,4,10.177711429243018,0.7822909364169074,22.133930882581346,2.2317430662959894,0.7507417498153747,0.18451594276515532
6,8,LMM-2,4,9.30625,0.8631564530836805,19.2889642459955,2.477055775666922,0.6357223192556043,0.07048174781217766
7,2,LMM-1,4,11.75,0.4330127018922193,23.292409811219336,1.397407337270871,0.8419212997268549,0.014296503113188938
7,2,LMM-2,4,10.625,1.1002840542332695,20.874247729182684,2.65888056483698,0.8773167162241468,0.022956399287388716
7,4,LMM-1,4,11.25,0.4330127018922193,22.426805110724178,1.3972776063549333,0.7135148142060596,0.024311926278431997
7,4,LMM-2,4,9.6125,1.1630375101431594,18.897368225063957,2.820138308317525,0.8091037111375434,0.04594477425970153
7,6,LMM-1,4,10.75432982390507,0.7485929001617707,21.758189574275594,2.109999592182472,0.6286744765555174,0.06033765166181251
7,6,LMM-2,4,9.395833333333334,1.2909608286509358,18.800111677850552,3.1242119359303935,0.724701874065554,0.06066328688890437
7,8,LMM-1,4,10.215342710217996,0.9793389419184776,20.91528812691287,2.5155749985735048,0.5819008474043884,0.07915229931721858
7,8,LMM-2,4,9.171875,1.494844656435912,18.501861932360022,3.5008839220313552,0.6617423268379546,0.07985316631507858
8,2,LMM-1,4,10.75,1.299038105676658,21.80216549330492,2.634779511981294,0.849076936724307,0.019155151410876984
8,2,LMM-2,4,10.1625,0.5616660484665248,20.131651350911373,1.2911017733841388,0.8935403640286648,0.014416408687455935
8,4,LMM-1,4,10.170216238798435,1.0938258296579937,21.03352889088769,2.401760986317799,0.7886786771879689,0.028285651128582296
8,4,LMM-2,4,9.6375,0.7276889788913942,19.36912800116857,1.6742962900714033,0.8014695807155419,0.02427532154612909
8,6,LMM-1,4,9.848579849527777,0.9851230062008828,20.6101556767147,2.231147961562506,0.7268791343671425,0.034187122845925066
8,6,LMM-2,4,9.1375,0.943131235713131,18.526968577372028,2.094980832253763,0.7220047349365635,0.04347352998986118
8,8,LMM-1,4,9.44309428220137,1.0886145948044454,19.910118330646664,2.442932362323349,0.6767294947075398,0.042155495754192675
8,8,LMM-2,4,8.54375,0.8976749481298893,17.37725916828721,1.949173315399142,0.6789866812158147,0.050833675507581035
9,2,LMM-1,4,12.125,0.8926785535678563,23.832439356863745,2.409430073240239,0.8439671107618041,0.017873235156641788
9,2,LMM-2,4,11.025,1.2636751956100112,21.392660243148807,3.0129389862888685,0.8830363275152197,0.020895224367340013
9,4,LMM-1,4,11.489956773266423,0.8133875070689683,23.119776694561974,2.36057977383325,0.7749701580716082,0.027313026377566746
9,4,LMM-2,4,10.3375,1.3067732205704248,20.21273664813042,3.035051545791718,0.7982596818086315,0.04930423782285974
9,6,LMM-1,4,11.059425364811526,0.9972182911259626,22.60838745803981,2.669467656410868,0.6646182920407155,0.06207207854204169
9,6,LMM-2,4,9.945833333333333,1.3552559721322022,19.77042998111571,3.242914882557502,0.7151906079367252,0.06345350583658875
9,8,LMM-1,4,10.782287665676142,0.9703940364032335,22.366912909478327,2.4550766019494388,0.615181623193109,0.08872951819204442
9,8,LMM-2,4,9.9125,1.2269436111737164,19.92557151546859,2.974225048539557,0.630513430685051,0.07290203169583472
10,2,LMM-1,4,13.625,0.81967981553775,28.002690146374164,1.9686723810123188,0.8032138487018976,0.016066747919472695
10,2,LMM-2,4,12.85,0.26220221204253735,26.323083379508333,0.8060442284367584,0.8302150226121503,0.007812179139977478
10,4,LMM-1,4,12.805736715981308,0.71531379517092,26.683444020197765,1.6356937827252784,0.7096769094010766,0.05237349378247518
10,4,LMM-2,4,11.90625,0.5236217026632877,24.41472212271979,1.2993511949999126,0.7182657902447472,0.013194738595231443
10,6,LMM-1,4,12.599988757944574,0.6432169209769072,26.24088373020328,1.5545653766339604,0.5777947795444494,0.04937684266779688
10,6,LMM-2,4,11.691666666666666,0.5454992616351049,24.013379494949838,1.424739677142354,0.6220507931082128,0.02616607031472929
10,8,LMM-1,4,12.543806309953656,0.639564354022391,26.223048492301462,1.5444112902700273,0.4673192381854086,0.04627389906667489
10,8,LMM-2,4,11.596875,0.3939359679884537,23.98342360395617,1.1045692681059336,0.5307370714980916,0.02224841215250603
11,2,LMM-1,4,10.404092563652341,1.1719650785701763,21.610230374774204,3.054031902726342,0.917974975968451,0.013003501009832585
11,2,LMM-2,4,9.7375,0.7309026953021861,19.045107473493953,1.7682650317610957,0.8954636688171437,0.013866084256007924
11,4,LMM-1,4,10.014968194820593,1.645382385643553,20.75873688203038,3.884121671060571,0.8314467856221016,0.046934040568096275
11,4,LMM-2,4,9.425,1.1834800378544625,18.621054499503874,2.6519227470709317,0.8107484421820955,0.035626018543594845
11,6,LMM-1,4,9.825633886546324,1.3745919043287502,20.546745167168147,3.4584913537524082,0.7789601663044105,0.03489757470411146
11,6,LMM-2,4,9.2375,0.8890049837380616,18.48531644230531,2.062468986006615,0.7325162956830831,0.037280237186484606
11,8,LMM-1,4,9.644358156358809,1.2456694982404795,20.270833967937005,3.182941635480718,0.7310510025656971,0.045441278270309776
11,8,LMM-2,4,9.065624999999999,0.9930372837285616,18.216975026492484,2.3125480322818768,0.6618380398426686,0.046771484690697834
12,2,LMM-1,4,11.070442721348106,0.9216428195277756,22.97769648874415,1.7446443286681306,0.8988407870701622,0.042346864594682385
12,2,LMM-2,4,10.525,0.7717674520216566,20.956413798405045,1.790537298269058,0.8755029160670244,0.008303365697068795
12,4,LMM-1,4,10.656790098341165,0.9045726574483126,22.2501754416057,2.1876275163166614,0.8296802423579921,0.0407120194695779
12,4,LMM-2,4,9.91875,1.0993428434751373,19.865596331406877,2.4301639436664817,0.7876299378931932,0.025691794711231602
12,6,LMM-1,4,10.153507335433448,0.9952172005138366,21.40919585252605,2.402460468425408,0.7808009211569539,0.030770849173842738
12,6,LMM-2,4,9.366666666666667,1.3187746838132233,18.89258847790405,2.936966330484429,0.7201458284767586,0.045541839075518384
12,8,LMM-1,4,9.760602919107162,0.8907053781908677,20.69865611800026,2.1016733126289724,0.7341493579607661,0.07557806416858405
12,8,LMM-2,4,9.25,1.1689672258023314,18.82191121766261,2.6564978424028887,0.6483891663682059,0.04969407953196049
13,2,LMM-1,4,11.933494902605894,1.0726240574725876,26.95084080172579,3.150322508061007,0.9824349356058001,0.004348625303037033
13,2,LMM-2,4,11.525,1.1535271995059324,24.155316356722327,2.5757638365130315,0.837684751261424,0.024773361469210383
13,4,LMM-1,4,11.420573232742232,1.1149940512445005,25.493604928371532,3.255142105387529,0.8933755155055002,0.021055175926607616
13,4,LMM-2,4,11.2875,1.2242982683970438,23.46898144149904,3.003496981487238,0.7187879143182813,0.05118214904957194
13,6,LMM-1,4,11.465702622514579,0.8694099310937959,25.479774939377254,2.5076599663889274,0.844446981631132,0.08274991700283199
13,6,LMM-2,4,11.125,0.7753583400954398,23.117767260529774,2.1980701444838022,0.6153816619366408,0.05779693572620579
13,8,LMM-1,4,11.22590921725142,0.5690749759676211,24.87288804982719,1.6987742545957916,0.7540979196108846,0.12089909040005752
13,8,LMM-2,4,10.634375,0.3129215906181611,22.082420578000495,1.1142326914531782,0.5559190329299315,0.04682509817352694
14,2,LMM-1,4,10.625,0.81967981553775,21.918995988101816,2.0090178060832673,0.8404391821676545,0.015349146013141935
14,2,LMM-2,4,9.7,1.1773911839316618,19.4107778055189,2.843644258487381,0.8914013003197971,0.030599626372012842
14,4,LMM-1,4,10.5625,1.2670709332945809,22.25639822110951,2.9122206140867206,0.7312076809151502,0.04788192481268999
14,4,LMM-2,4,10.15625,1.1508658425290064,20.791173697025464,2.7116424981012317,0.7663976746323432,0.04726976680108177
14,6,LMM-1,4,10.309161487625225,1.3810370304367727,22.041403981945567,3.217889516240922,0.661827334467779,0.10496179476345285
14,6,LMM-2,4,9.720833333333333,1.4428162564928357,20.20652693639397,3.472351434388663,0.6824317955481851,0.0758860294020982
14,8,LMM-1,4,9.864370317671884,1.195823110347224,21.366390776134427,2.904146154177049,0.6340096666252384,0.1275138836201455
14,8,LMM-2,4,9.44375,1.3059210112024389,19.685674638622302,3.2476684971786627,0.6146887219906946,0.09384837865480997
15,2,LMM-1,4,11.365137813420588,3.6488937521783713,24.646582499073585,8.896299210579718,0.8746086515255842,0.09584482681183258
15,2,LMM-2,4,10.425,2.9373670182665292,21.951103802450103,7.359124879735584,0.8734380681718809,0.06836678236890213
15,4,LMM-1,4,11.22916117028109,3.1125461313674556,24.574121126419726,7.370932297078341,0.8243546114529706,0.16942614492685282
15,4,LMM-2,4,10.30625,2.5858614981278483,21.559370630899814,6.5120519172309015,0.7769653048724258,0.10202187809901393
