num_publishers,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
4,LMM-1,70,12.644744897959184,3.3794816522608873,25.289489795918367,6.7589633045217745,0.7447156626046638,0.11112108937163827
4,LMM-2,70,9.604863945578233,1.8582116423836739,19.209727891156465,3.7164232847673477,0.7938812614207679,0.08689391747949507
5,LMM-1,70,12.170527210884353,3.653163588529259,24.341054421768707,7.306327177058518,0.7615880435164218,0.11309690574783457
5,LMM-2,70,9.52702380952381,1.70657533985159,19.05404761904762,3.41315067970318,0.8004120026700112,0.08258259404260082
6,LMM-1,70,11.319591836734695,2.898912915543713,22.63918367346939,5.797825831087426,0.7787886775212796,0.10591973489387967
6,LMM-2,70,9.16982993197279,0.9778266710474253,18.33965986394558,1.9556533420948505,0.8086032141721223,0.07528307433649445
7,LMM-1,70,10.717857142857143,2.441207431514157,21.435714285714287,4.882414863028314,0.7966481857285834,0.09252462273019169
7,LMM-2,70,8.822227891156462,0.8446822863910713,17.644455782312924,1.6893645727821427,0.8211349861522798,0.06841723594632951
8,LMM-1,70,10.46170068027211,2.526589423089877,20.92340136054422,5.053178846179754,0.8029108236900719,0.09110995712424941
8,LMM-2,70,8.363809523809524,0.989371816942788,16.727619047619047,1.978743633885576,0.8339232466957976,0.06340410424506776
9,LMM-1,70,10.033843537414965,2.2237195586565885,20.06768707482993,4.447439117313177,0.8114839921037778,0.08717020173834138
9,LMM-2,70,8.1703231292517,1.1060364840173715,16.3406462585034,2.212072968034743,0.8390714650954372,0.06455622950372308
10,LMM-1,70,9.304948979591837,1.350420435012883,18.609897959183673,2.700840870025766,0.8328214611313834,0.06240575820290228
10,LMM-2,70,7.629132653061224,1.2777561044711563,15.258265306122448,2.5555122089423126,0.8517492300597503,0.06079562808363602
