num_users,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
2,LMM-1,70,11.678571428571429,2.632266424701771,23.357142857142858,5.264532849403542,0.9060938471182042,0.029140500537207365
2,LMM-2,70,9.307142857142857,1.6866976550620556,18.614285714285714,3.373395310124111,0.9223992797452119,0.019666572370306737
3,LMM-1,70,11.385714285714286,2.6706135757065828,22.771428571428572,5.3412271514131655,0.8632747625290845,0.04092817693196842
3,LMM-2,70,9.104761904761906,1.4414970801911275,18.209523809523812,2.882994160382255,0.8861132020012273,0.02479375432907075
4,LMM-1,70,11.125,2.752515083648823,22.25,5.505030167297646,0.8229596092677822,0.05220386875702881
4,LMM-2,70,8.95357142857143,1.385055992384718,17.90714285714286,2.770111984769436,0.8508617120521613,0.030880170557813325
5,LMM-1,70,10.922857142857143,2.9183738832522774,21.845714285714287,5.836747766504555,0.7844648090378088,0.06573445803054138
5,LMM-2,70,8.745714285714286,1.360219069991061,17.49142857142857,2.720438139982122,0.8174108242610878,0.03642127799669861
6,LMM-1,70,10.685714285714285,3.04184348568154,21.37142857142857,6.08368697136308,0.7497603625186172,0.07715449689262154
6,LMM-2,70,8.535714285714286,1.3475117742934235,17.071428571428573,2.695023548586847,0.7869350745682135,0.0415181855259939
7,LMM-1,70,10.514285714285714,3.1155024771505473,21.02857142857143,6.231004954301095,0.7166887575842379,0.08713914757967749
7,LMM-2,70,8.379591836734694,1.3578163128807954,16.759183673469387,2.715632625761591,0.7570438120231662,0.04739309822717747
8,LMM-1,70,10.341071428571428,3.1815540781260996,20.682142857142857,6.363108156252199,0.6857146982404467,0.09619121131868358
8,LMM-2,70,8.260714285714286,1.3697534412425902,16.521428571428572,2.7395068824851805,0.7280115016150983,0.052720024641418
