num_publishers,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
4,LMM-1,21,11.584476446451774,1.2128109341831141,25.298103989488624,2.894672543197885,0.680583686644417,0.14669988685134638
4,LMM-2,21,10.665351473922902,1.1480334903584477,22.63641593737343,3.01903815638633,0.6952756039669891,0.10499424033339488
5,LMM-1,21,11.15594770350879,1.5008224830850136,24.274110750830953,3.518491568351137,0.7442756165555352,0.16946837152556962
5,LMM-2,21,10.51359977324263,1.2632097394488417,22.192712461850622,3.336854681302623,0.7014941390090623,0.11172749287529007
6,LMM-1,21,10.35276271438441,0.9014282474544745,22.323905656221115,2.1570762702300654,0.7643542156190731,0.15311943351102958
6,LMM-2,21,9.874002267573697,0.7561957501695533,20.60510333085769,2.0831179391462014,0.729148730635219,0.0970008616942644
7,LMM-1,21,10.28532910846997,0.9182755512069856,22.177649644694696,2.152056083988382,0.7732153914602721,0.1636573378512957
7,LMM-2,21,9.772947845804989,0.8302493020819413,20.311194357643576,2.2951803187050914,0.7312817956390247,0.09770212925617625
8,LMM-1,21,10.065226233287563,0.7291799177468974,21.695002053493937,1.954533372705265,0.8050214722028224,0.13692185004029064
8,LMM-2,21,9.513577097505669,0.7644621853862196,19.61318269462812,2.16483883965062,0.748152089041696,0.0934707890457383
9,LMM-1,21,9.876795898730744,0.8240148108837633,20.834249642275207,1.912291335959075,0.7972989354997955,0.12575671507733643
9,LMM-2,21,9.115873015873015,0.4002315668613147,18.449627019747012,0.9349411182986025,0.7683078097585869,0.082480338986152
10,LMM-1,21,8.907694759775096,0.7779758995350456,18.509141836038705,1.635175188541413,0.843442356778983,0.11890616178961867
10,LMM-2,21,8.252409297052154,0.7938696318797271,16.491485929424996,1.8497720971590434,0.8129524579897928,0.06794890176539141
