num_users,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
2,LMM-1,21,10.858990411586111,1.3110922372450147,23.076690314522164,3.2342003584417496,0.8914213642020252,0.07593788497198165
2,LMM-2,21,10.216666666666667,1.1973515747894576,20.958872215451223,3.1072845320386366,0.8742998460080869,0.027803839617893625
3,LMM-1,21,10.677668622043878,1.2235237073220864,22.741781624544792,2.992210693629129,0.8378891605988289,0.10368840641923485
3,LMM-2,21,9.955555555555556,1.202569265991017,20.497305952711372,3.1636557594044343,0.8251667613024319,0.040629908403056955
4,LMM-1,21,10.41945031901291,1.1660423957697228,22.363876425930627,2.91006319260237,0.8128560480251288,0.12043380044235395
4,LMM-2,21,9.788095238095238,1.2483946607643526,20.245538725646195,3.336493699884521,0.7780938845775748,0.05552373645295962
5,LMM-1,21,10.31480215211167,1.1696019785871958,22.13733184336719,2.984699234261687,0.7580931749709192,0.1319659804389569
5,LMM-2,21,9.607619047619048,1.1011764477870916,19.9332558241799,2.972609308287407,0.7336353725854157,0.059073544056786956
6,LMM-1,21,10.06586687675902,1.209798793010668,21.710986655292068,3.0296919468010546,0.735391998654732,0.1511067249758812
6,LMM-2,21,9.46984126984127,1.0305725927777394,19.68045516729562,2.8075740938718488,0.6967161348178825,0.06298545630989638
7,LMM-1,21,9.972028817279655,1.2187147539411158,21.56489643710015,3.0286718176427248,0.7036575511729717,0.16121821983865833
7,LMM-2,21,9.364625850340136,0.9578038031445453,19.510207107943778,2.616978425362452,0.657694624114748,0.06337214093741458
8,LMM-1,21,9.919425665815103,1.4436426680982681,21.516600272286237,3.5367042435789604,0.6688823771362927,0.1755545735865908
8,LMM-2,21,9.305357142857142,1.1620907589223781,19.47408673829736,3.1160364035619517,0.621006002634231,0.07692072999284888
