iteration,num_publishers,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
1,4,LMM-1,4,10.25,0.0,10.287500000000005,0.0,0.6629347951773075,0.04265908771500018
1,4,LMM-2,4,10.25,0.0,7.544444444444449,1.8643602442581664,0.7036287615845398,0.016753228262958275
1,6,LMM-1,4,9.166666666666668,7.691850745534255e-16,9.258333333333336,8.881784197001252e-16,0.665753051096137,0.030695961769025053
1,6,LMM-2,4,9.036458333333334,0.16560534474567357,7.386371527777782,1.0969784631383646,0.6929365419668111,0.010611918654732475
1,8,LMM-1,4,7.986111111111112,0.04166666666666674,8.13680555555556,0.0395833333333336,0.6807081916175883,0.0469145699347864
1,8,LMM-2,4,7.703125,0.06314768569261532,6.3775462962963,1.0425493559508934,0.708460915152455,0.03316076833924255
1,10,LMM-1,4,7.427083333333333,0.054126587736527544,7.60572916666667,0.051420258349701195,0.692410580944233,0.04915149801408617
1,10,LMM-2,4,7.022569444444445,0.0920466398736914,5.91354166666667,0.9212886553400802,0.752380156986196,0.02272726126890792
2,4,LMM-1,4,11.0,0.0,11.000000000000005,7.691850745534255e-16,0.6467281167914278,0.04295994282582306
2,4,LMM-2,4,11.0,0.0,8.25694444444445,1.8643602442581668,0.6866551886661392,0.01943540992890358
2,6,LMM-1,4,10.25,0.0,10.287500000000005,0.0,0.6857518828773309,0.03748603913813298
2,6,LMM-2,4,10.25,0.0,7.5866319444444485,1.8228387136110318,0.7182638361494964,0.018152732975096484
2,8,LMM-1,4,8.869791666666666,0.35793794804795104,8.976302083333337,0.3400410506455541,0.6422963740551404,0.09008955090954887
2,8,LMM-2,4,8.499131944444445,0.2306660623511875,6.711848958333336,1.0330809828559773,0.716204831494346,0.05369123290356024
2,10,LMM-1,4,7.576388888888889,0.11723571538982047,7.747569444444449,0.11137392962032945,0.7562638233993898,0.05064194195727878
2,10,LMM-2,4,7.427083333333334,0.10364452469860629,6.3835792824074105,1.168559017600231,0.7951363048565572,0.02551805240751065
3,4,LMM-1,4,11.875,0.0,11.831250000000004,1.538370149106851e-15,0.6288084555347919,0.03634416049403777
3,4,LMM-2,4,11.875,0.0,8.19231770833334,2.140832859908909,0.673098845150665,0.005635531976745159
3,6,LMM-1,4,9.75,0.0,9.812500000000004,1.538370149106851e-15,0.691186691119779,0.03656405371233061
3,6,LMM-2,4,9.75,0.0,7.532769097222228,1.415129328312808,0.727126764973617,0.00828661288461323
3,8,LMM-1,4,9.1875,0.10825317547305517,9.278125000000005,0.10284051669940257,0.6616429851890058,0.05364052908591963
3,8,LMM-2,4,8.823784722222221,0.09726484060928704,6.737745949074078,1.2717081084013007,0.7058190734308402,0.024362222048335488
3,10,LMM-1,4,7.427083333333333,0.12192395740332934,7.60572916666667,0.11582775953316284,0.6577103823893873,0.04918311369524259
3,10,LMM-2,4,6.942708333333333,0.14386695121805354,5.650434027777781,0.965359876573366,0.738766252289244,0.019162228830993413
