Simulation Time,Subscribers,Total Requests,Hop Reduction Ratio,Cache Hit Ratio (%),Latency,Active Paths,Policy,Publishers
2025-12-27 17:55:40,1,6,0,0.0,0.00706574716039808,1,LRU,3
2025-12-27 17:55:40,1,12,0,0.0,0.007745414225352714,2,LRU,3
2025-12-27 17:55:40,1,18,0,0.0,0.0038266119453900494,3,LRU,3
2025-12-27 17:55:40,1,24,0,0.0,0.0006520749580563529,4,LRU,3
2025-12-27 17:55:40,1,30,0,0.0,0.001790414689476057,5,LRU,3
2025-12-27 17:55:40,1,36,0,0.0,0.0003140954103864778,6,LRU,3
2025-12-27 17:55:40,1,42,0,0.0,0.0022254918164859466,7,LRU,3
2025-12-27 17:55:40,1,48,0,0.0,0.001955315357591953,8,LRU,3
2025-12-27 17:55:40,1,54,0,0.0,0.0004784144476883557,9,LRU,3
2025-12-27 17:55:40,1,60,0,0.0,0.0004175649746748191,10,LRU,3
2025-12-27 17:55:40,1,66,0,0.0,0.0004414525456196775,11,LRU,3
2025-12-27 17:55:40,1,72,0,0.0,0.0008961328700822966,12,LRU,3
2025-12-27 17:55:40,1,72,0,0.0,0.0008956842460563102,12,LRU,3
2025-12-27 17:55:40,1,78,0,0.0,0.0011152955700588782,13,LRU,3
2025-12-27 17:55:40,1,84,0,0.0,0.0003860558085920545,14,LRU,3
2025-12-27 17:55:40,1,90,0,0.0,0.00012493213667262622,15,LRU,3
2025-12-27 17:55:40,1,96,0,0.0,0.000926099738089888,16,LRU,3
2025-12-27 17:55:40,1,102,0,0.0,0.0001800692181591515,17,LRU,3
2025-12-27 17:55:40,1,108,0,0.0,0.0003602105153305641,18,LRU,3
2025-12-27 17:55:40,1,114,0,0.0,0.000764457245228556,19,LRU,3
2025-12-27 17:55:40,1,120,0,0.0,0.0003112546683657968,20,LRU,3
2025-12-27 17:55:40,1,126,0,0.0,0.00011266866411347939,21,LRU,3
2025-12-27 17:55:40,1,132,0,0.0,0.00022742221991665302,22,LRU,3
2025-12-27 17:55:40,1,132,0,0.0,0.0003243357736925869,22,LRU,3
2025-12-27 17:55:40,1,132,0,0.0,0.0006055487890614089,22,LRU,3
2025-12-27 17:55:40,1,138,0,0.0,0.00061705958503021,23,LRU,3
2025-12-27 17:55:40,1,144,0,0.0,0.0004241806863724666,24,LRU,3
2025-12-27 17:55:40,1,150,0,0.0,0.00028022123186510046,25,LRU,3
2025-12-27 17:55:41,1,156,0,0.641025641025641,0.0005937335099334864,27,LRU,3
2025-12-27 17:55:41,1,162,0,0.6172839506172839,0.0004465002192338112,28,LRU,3
2025-12-27 17:55:41,1,168,0,0.5952380952380952,0.00020118762199634204,29,LRU,3
2025-12-27 17:55:41,1,174,0,0.5747126436781609,0.00028573124997497454,30,LRU,3
2025-12-27 17:55:41,1,180,0,0.5555555555555556,0.00013822112732046619,31,LRU,3
2025-12-27 17:55:41,1,186,0,0.5376344086021506,0.00029190840502235524,32,LRU,3
2025-12-27 17:55:41,1,192,0,0.5208333333333333,0.00011627843217238577,33,LRU,3
2025-12-27 17:55:41,1,198,0,0.5050505050505051,8.6060784130544e-05,34,LRU,3
2025-12-27 17:55:41,1,204,0,0.49019607843137253,0.00039305821919321805,35,LRU,3
2025-12-27 17:55:41,1,210,0,0.4761904761904762,0.00015518937461740477,36,LRU,3
2025-12-27 17:55:41,1,216,0,0.4629629629629629,0.00019854224566198534,37,LRU,3
2025-12-27 17:55:41,1,222,0,0.45045045045045046,0.0003411591627084797,38,LRU,3
2025-12-27 17:55:41,1,228,0,0.43859649122807015,0.00036834489028875016,39,LRU,3
2025-12-27 17:55:41,1,234,0,0.4273504273504274,0.00018255308181521886,40,LRU,3
2025-12-27 17:55:41,1,240,0,0.4166666666666667,0.00038578512954770284,42,LRU,3
2025-12-27 17:55:41,1,246,0,0.40650406504065045,0.00026052994158350264,43,LRU,3
2025-12-27 17:55:41,1,252,0,0.3968253968253968,0.00034314498972575093,44,LRU,3
2025-12-27 17:55:41,1,258,0,0.3875968992248062,0.0002095135480955493,45,LRU,3
2025-12-27 17:55:41,1,264,0,0.3787878787878788,0.0003120344401303662,46,LRU,3
2025-12-27 17:55:41,1,270,0,0.3703703703703704,0.0001525188929497949,48,LRU,3
2025-12-27 17:55:41,1,270,0,0.3703703703703704,0.00020226708712585943,48,LRU,3
2025-12-27 17:55:41,1,276,0,0.36231884057971014,0.0003348418829347011,49,LRU,3
2025-12-27 17:55:41,1,6,0,0.0,0.0021093738957130475,1,LFU,3
2025-12-27 17:55:41,1,12,0,0.0,0.004864328314787957,2,LFU,3
2025-12-27 17:55:41,1,18,0,0.0,0.002170986715407872,3,LFU,3
2025-12-27 17:55:41,1,24,0,0.0,0.0031375692496101674,4,LFU,3
2025-12-27 17:55:41,1,30,0,0.0,0.0025400884613488626,5,LFU,3
2025-12-27 17:55:41,1,36,0,0.0,0.000713220361832251,6,LFU,3
2025-12-27 17:55:42,1,42,0,0.0,0.0011720543504852498,7,LFU,3
2025-12-27 17:55:42,1,48,0,0.0,0.0013835911460215301,8,LFU,3
2025-12-27 17:55:42,1,54,0,0.0,0.0015655998097570583,9,LFU,3
2025-12-27 17:55:42,1,60,0,0.0,0.0007118912304534583,10,LFU,3
2025-12-27 17:55:42,1,66,0,0.0,0.0007097874174922484,11,LFU,3
2025-12-27 17:55:42,1,72,0,0.0,0.0008576558996003551,12,LFU,3
2025-12-27 17:55:42,1,78,0,0.0,0.0008774571224796097,13,LFU,3
2025-12-27 17:55:42,1,84,0,0.0,0.0010502063353171984,14,LFU,3
2025-12-27 17:55:42,1,90,0,0.0,0.0005320266452684695,15,LFU,3
2025-12-27 17:55:42,1,96,0,0.0,0.0006675263712788422,16,LFU,3
2025-12-27 17:55:42,1,102,0,0.0,0.0009296239400476989,17,LFU,3
2025-12-27 17:55:42,1,108,0,0.0,0.00028289637980000827,18,LFU,3
2025-12-27 17:55:42,1,114,0,0.0,0.0003229107669010988,19,LFU,3
2025-12-27 17:55:42,1,120,0,0.0,0.000632206118839263,20,LFU,3
2025-12-27 17:55:42,1,126,0,0.7936507936507936,0.0006047706121193615,22,LFU,3
2025-12-27 17:55:42,1,132,0,0.7575757575757576,0.0003147409799749769,23,LFU,3
2025-12-27 17:55:42,1,138,0,0.7246376811594203,0.000256267900855231,24,LFU,3
2025-12-27 17:55:42,1,144,0,0.6944444444444444,0.00022654015191272132,25,LFU,3
2025-12-27 17:55:42,1,150,0,0.6666666666666667,0.00013799738776439733,26,LFU,3
2025-12-27 17:55:42,1,156,0,0.641025641025641,0.00017341430790296134,27,LFU,3
2025-12-27 17:55:42,1,162,0,0.6172839506172839,0.0005078856919936905,28,LFU,3
