Simulation Time,Subscribers,Total Requests,Hop Reduction Ratio,Cache Hit Ratio (%),Latency,Active Paths,Policy,Publishers
2025-12-27 18:35:17,6,20,0,0.0,0.003283611878259197,6,RandomForest,3
2025-12-27 18:35:17,6,40,0,0.0,0.0005587598341395423,12,RandomForest,3
2025-12-27 18:35:18,6,60,0,1.6666666666666667,0.00017708161413773542,18,RandomForest,3
2025-12-27 18:35:18,6,80,0,1.25,0.0009349468214337511,24,RandomForest,3
2025-12-27 18:35:18,6,100,0,1.0,0.0008922666035772332,30,RandomForest,3
2025-12-27 18:35:18,6,115,0,0.8695652173913043,0.0007656816834775235,35,RandomForest,3
2025-12-27 18:35:18,6,133,0,0.7518796992481203,0.000708596763047362,40,RandomForest,3
2025-12-27 18:35:18,6,153,0,1.3071895424836601,0.00014806407279466458,46,RandomForest,3
2025-12-27 18:35:18,6,171,0,1.1695906432748537,0.00015383009102692798,51,RandomForest,3
2025-12-27 18:35:19,6,191,0,1.0471204188481675,0.0002020401847851729,57,RandomForest,3
2025-12-27 18:35:19,6,211,0,0.9478672985781991,5.04335775090648e-05,63,RandomForest,3
2025-12-27 18:35:19,6,231,0,0.8658008658008658,0.0002324132342084024,69,RandomForest,3
2025-12-27 18:35:19,6,251,0,0.796812749003984,0.0003844921959369064,75,RandomForest,3
2025-12-27 18:35:19,6,270,0,0.7407407407407408,0.00020576508528645846,80,RandomForest,3
2025-12-27 18:35:19,6,290,0,1.0344827586206897,5.808947045631709e-05,88,RandomForest,3
2025-12-27 18:35:19,6,310,0,1.6129032258064515,9.535507871161932e-05,95,RandomForest,3
2025-12-27 18:35:20,6,330,0,1.5151515151515151,0.00014047862904310434,103,RandomForest,3
2025-12-27 18:35:20,6,350,0,1.4285714285714286,0.0002450194633997498,109,RandomForest,3
2025-12-27 18:35:20,6,370,0,1.3513513513513513,0.0002555433515151643,115,RandomForest,3
2025-12-27 18:35:20,6,388,0,1.2886597938144329,0.0002439746017251871,121,RandomForest,3
