Simulation Time,Subscribers,Total Requests,Hop Reduction Ratio,Cache Hit Ratio (%),Latency,Active Paths,Policy,Publishers
2025-12-27 18:26:57,1,6,0,0.0,0.010197603736136296,1,FIFO,2
2025-12-27 18:26:57,1,12,0,0.0,0.007821288553641014,2,FIFO,2
2025-12-27 18:26:57,1,18,0,0.0,0.0047714385676618605,3,FIFO,2
2025-12-27 18:26:57,1,24,0,0.0,0.0014444994322573336,4,FIFO,2
2025-12-27 18:26:57,1,30,0,0.0,0.0022703153481445485,5,FIFO,2
2025-12-27 18:26:57,1,36,0,0.0,0.002762736696629386,6,FIFO,2
2025-12-27 18:26:57,1,42,0,0.0,0.0004015473366588664,7,FIFO,2
2025-12-27 18:26:57,1,48,0,0.0,0.0014729125546238907,8,FIFO,2
2025-12-27 18:26:57,1,54,0,1.8518518518518516,0.0008261103819675234,10,FIFO,2
2025-12-27 18:26:57,1,60,0,1.6666666666666667,0.0012096599406560692,11,FIFO,2
2025-12-27 18:26:57,1,60,0,1.6666666666666667,0.00025432968992971484,11,FIFO,2
2025-12-27 18:26:57,1,66,0,1.5151515151515151,0.000316506564954196,12,FIFO,2
2025-12-27 18:26:57,1,72,0,1.3888888888888888,0.0008495791802164917,13,FIFO,2
2025-12-27 18:26:57,1,78,0,2.564102564102564,0.0004374753137716313,15,FIFO,2
2025-12-27 18:26:57,1,84,0,2.380952380952381,0.0010891653780444488,16,FIFO,2
2025-12-27 18:26:57,1,90,0,2.2222222222222223,0.00046445951464038474,17,FIFO,2
2025-12-27 18:26:57,1,96,0,2.083333333333333,0.00016998409306927457,18,FIFO,2
2025-12-27 18:26:57,1,102,0,1.9607843137254901,0.0002485846935957609,19,FIFO,2
2025-12-27 18:26:57,1,108,0,1.8518518518518516,0.0004221493453223807,20,FIFO,2
2025-12-27 18:26:57,1,114,0,2.631578947368421,0.0004595184146217969,22,FIFO,2
2025-12-27 18:26:57,1,120,0,2.5,0.000329930004875721,23,FIFO,2
2025-12-27 18:26:57,1,126,0,2.380952380952381,0.00019225172593973985,24,FIFO,2
2025-12-27 18:26:57,1,132,0,3.0303030303030303,0.0005013032905838371,26,FIFO,2
2025-12-27 18:26:57,1,132,0,3.0303030303030303,0.0003716906369486627,26,FIFO,2
2025-12-27 18:26:57,1,138,0,2.898550724637681,0.00010076561952754118,27,FIFO,2
2025-12-27 18:26:57,1,144,0,2.7777777777777777,0.0005251656806666253,28,FIFO,2
2025-12-27 18:26:57,1,150,0,2.666666666666667,0.0003578144935028646,29,FIFO,2
2025-12-27 18:26:58,1,156,0,3.205128205128205,0.0003195356402027223,31,FIFO,2
2025-12-27 18:26:58,1,162,0,3.0864197530864197,0.0003852869693381724,32,FIFO,2
2025-12-27 18:26:58,1,168,0,2.976190476190476,0.0005102724271528813,33,FIFO,2
2025-12-27 18:26:58,1,168,0,2.976190476190476,0.0004956691492509176,33,FIFO,2
2025-12-27 18:26:58,1,174,0,2.8735632183908044,0.000499266027611659,34,FIFO,2
2025-12-27 18:26:58,1,180,0,3.3333333333333335,0.0004380961011870847,36,FIFO,2
2025-12-27 18:26:58,1,180,0,3.3333333333333335,6.140527249340875e-05,36,FIFO,2
2025-12-27 18:26:58,1,186,0,3.225806451612903,0.00037505645413268477,37,FIFO,2
2025-12-27 18:26:58,1,186,0,3.225806451612903,0.00017330574192213173,37,FIFO,2
2025-12-27 18:26:58,1,192,0,3.125,0.00046587999210508,39,FIFO,2
2025-12-27 18:26:58,1,198,0,3.0303030303030303,0.000236097570891531,40,FIFO,2
2025-12-27 18:26:58,1,204,0,2.941176470588235,0.00021599598445202442,41,FIFO,2
2025-12-27 18:26:58,1,210,0,2.857142857142857,8.551469491955142e-05,42,FIFO,2
2025-12-27 18:26:58,1,216,0,2.7777777777777777,0.0003736852199386825,44,FIFO,2
2025-12-27 18:26:58,1,222,0,2.7027027027027026,0.0001663939446160816,45,FIFO,2
2025-12-27 18:26:58,1,228,0,2.631578947368421,0.00012170386101949895,46,FIFO,2
2025-12-27 18:26:58,1,234,0,2.564102564102564,0.00025354205838710303,47,FIFO,2
2025-12-27 18:26:58,1,240,0,2.9166666666666665,0.0002311365793443363,49,FIFO,2
2025-12-27 18:26:58,1,246,0,2.8455284552845526,0.00017640420220607438,50,FIFO,2
2025-12-27 18:26:58,1,246,0,2.8455284552845526,8.717741381071587e-05,50,FIFO,2
2025-12-27 18:26:58,1,252,0,3.1746031746031744,0.0002136915601275244,52,FIFO,2
2025-12-27 18:26:58,1,258,0,3.10077519379845,0.00011636514636325851,53,FIFO,2
2025-12-27 18:26:58,1,264,0,3.0303030303030303,6.757149118073207e-05,56,FIFO,2
