Simulation Time,Subscribers,Total Requests,Hop Reduction Ratio,Cache Hit Ratio (%),Latency,Active Paths,Policy,Publishers
2025-12-27 17:55:44,1,6,0,0.0,0.00790468981503292,1,MRU,3
2025-12-27 17:55:44,1,12,0,0.0,0.001584328504435718,2,MRU,3
2025-12-27 17:55:44,1,18,0,0.0,0.004811141256873309,3,MRU,3
2025-12-27 17:55:44,1,24,0,0.0,0.0031622944050247325,4,MRU,3
2025-12-27 17:55:44,1,30,0,0.0,0.0006365123021574814,5,MRU,3
2025-12-27 17:55:44,1,36,0,0.0,0.002490464286284305,6,MRU,3
2025-12-27 17:55:44,1,42,0,0.0,0.002016365448360203,7,MRU,3
2025-12-27 17:55:44,1,48,0,0.0,0.0017790003399941292,8,MRU,3
2025-12-27 17:55:44,1,54,0,0.0,0.0014364083892525936,9,MRU,3
2025-12-27 17:55:44,1,54,0,0.0,0.0005827419492936551,9,MRU,3
2025-12-27 17:55:45,1,60,0,0.0,0.0004910779950176378,10,MRU,3
2025-12-27 17:55:45,1,66,0,0.0,0.000830064226208479,11,MRU,3
2025-12-27 17:55:45,1,72,0,0.0,0.0010485749359734258,12,MRU,3
2025-12-27 17:55:45,1,78,0,1.282051282051282,0.0008420779238216458,14,MRU,3
2025-12-27 17:55:45,1,84,0,1.1904761904761905,0.0011555661153668097,15,MRU,3
2025-12-27 17:55:45,1,90,0,1.1111111111111112,0.001101606978513594,16,MRU,3
2025-12-27 17:55:45,1,96,0,1.0416666666666665,0.00010847878193223064,17,MRU,3
2025-12-27 17:55:45,1,102,0,0.9803921568627451,0.0007908313495233225,18,MRU,3
2025-12-27 17:55:45,1,108,0,0.9259259259259258,0.000348670530911492,19,MRU,3
2025-12-27 17:55:45,1,114,0,0.8771929824561403,0.0006838235549062043,20,MRU,3
2025-12-27 17:55:45,1,120,0,0.8333333333333334,0.0007531393934833418,21,MRU,3
2025-12-27 17:55:45,1,126,0,0.7936507936507936,0.0007913436172662961,22,MRU,3
2025-12-27 17:55:45,1,132,0,0.7575757575757576,0.00026492656438656533,23,MRU,3
2025-12-27 17:55:45,1,138,0,0.7246376811594203,0.0006301426633407679,24,MRU,3
2025-12-27 17:55:45,1,144,0,0.6944444444444444,0.0001200590432910147,25,MRU,3
2025-12-27 17:55:45,1,150,0,1.3333333333333335,0.00010434652742895988,27,MRU,3
2025-12-27 17:55:45,1,156,0,1.282051282051282,0.0005376637970072162,28,MRU,3
2025-12-27 17:55:45,1,162,0,1.2345679012345678,0.00044881322371037027,29,MRU,3
2025-12-27 17:55:45,1,168,0,1.1904761904761905,7.756101233857268e-05,31,MRU,3
2025-12-27 17:55:45,1,174,0,1.1494252873563218,0.00041039750453628553,32,MRU,3
2025-12-27 17:55:45,1,180,0,1.1111111111111112,0.00010732875257870897,33,MRU,3
2025-12-27 17:55:45,1,186,0,1.0752688172043012,0.0002522219636581913,34,MRU,3
2025-12-27 17:55:45,1,192,0,1.0416666666666665,0.0004215674994223837,35,MRU,3
2025-12-27 17:55:45,1,198,0,1.0101010101010102,0.00011312729330717342,37,MRU,3
2025-12-27 17:55:45,1,204,0,0.9803921568627451,0.00020825064078905094,38,MRU,3
2025-12-27 17:55:45,1,210,0,1.4285714285714286,5.404967037555039e-05,40,MRU,3
2025-12-27 17:55:45,1,216,0,1.3888888888888888,0.0003552240483915636,41,MRU,3
2025-12-27 17:55:45,1,222,0,1.3513513513513513,7.763264943430582e-05,42,MRU,3
2025-12-27 17:55:45,1,228,0,1.3157894736842104,0.0003502505085552307,43,MRU,3
2025-12-27 17:55:45,1,234,0,1.282051282051282,9.14225205644427e-05,44,MRU,3
2025-12-27 17:55:45,1,240,0,1.25,0.0003135017182750427,45,MRU,3
2025-12-27 17:55:46,1,246,0,1.2195121951219512,6.0944134261971296e-05,48,MRU,3
2025-12-27 17:55:46,1,252,0,1.1904761904761905,0.00014308815651558528,49,MRU,3
2025-12-27 17:55:46,1,258,0,1.1627906976744187,9.925075090897014e-05,53,MRU,3
2025-12-27 17:55:46,1,264,0,1.1363636363636365,0.0002458032768156146,54,MRU,3
2025-12-27 17:55:46,1,270,0,1.1111111111111112,0.00024775690524984277,55,MRU,3
2025-12-27 17:55:46,1,276,0,1.0869565217391304,0.0001657421845500011,57,MRU,3
2025-12-27 17:55:46,1,282,0,1.0638297872340425,6.749600549240233e-05,59,MRU,3
2025-12-27 17:55:46,1,288,0,1.0416666666666665,0.00033626853541601824,60,MRU,3
2025-12-27 17:55:46,1,294,0,1.0204081632653061,0.00021947072172019008,62,MRU,3
