Policy,Iteration,Cache Hit Ratio,Latency,Hop Reduction
LRU,1,0.0,0.0036032278987580494,0.5
LRU,2,0.0,0.013009338018488987,0.5625
LRU,3,0.0,0.002199091614758514,0.5625
LRU,4,0.0,0.004072109704679242,0.5625
LRU,5,0.0,0.0015430957716602142,0.5625
LRU,6,0.0,0.003886485002045751,0.5625
LRU,7,0.0,0.0014297552410147511,0.5625
LRU,8,0.0,0.003466772115075537,0.5625
LRU,9,0.0,0.0025196881940969186,0.5625
LRU,10,0.0,0.0025913722410442633,0.5625
LRU,11,0.0,0.0013595881660396594,0.5625
LRU,12,0.0,0.0018470190619225763,0.5625
LRU,13,0.0,0.0011565322209572465,0.5625
LRU,14,0.0,0.0011295837846396763,0.5625
LRU,15,0.0,0.0011398447354336412,0.5625
LRU,16,0.0,0.0009345915692979727,0.5625
LRU,17,0.0,0.001141986706546581,0.5625
LRU,18,0.0,0.0014362351760122557,0.5625
LRU,19,0.0,0.0005437561473497165,0.5625
LRU,20,0.0,0.0008590577376112877,0.5625
LRU,21,0.0,0.0010494837782713093,0.5625
LRU,22,1.3333333333333335,0.0012500730275667182,0.5625
LRU,23,1.2658227848101267,0.0006902369538417883,0.5625
LRU,24,1.2048192771084338,0.0009407244450860313,0.5625
LRU,25,1.1627906976744187,0.0007883216877137668,0.5625
LRU,26,1.1111111111111112,0.0009247507490916226,0.5625
LRU,27,1.0752688172043012,0.00011608221782885172,0.5625
LRU,28,1.0309278350515463,0.00027035566565881746,0.5625
LRU,29,0.9900990099009901,0.0005228218440959997,0.5625
LRU,30,0.9523809523809524,0.0002216158056028518,0.5625
LRU,31,0.9259259259259258,0.0003735246903644942,0.5625
LRU,32,0.8928571428571428,0.0006344382212774021,0.5625
LRU,33,0.8695652173913043,0.0004677528011691448,0.5625
LRU,34,0.847457627118644,0.0007727700155076782,0.5625
LRU,35,0.8264462809917356,0.0004099797355311674,0.5625
LRU,36,1.6,0.0007242997239827028,0.5625
LRU,37,1.550387596899225,0.0005286626832998819,0.5625
LRU,38,1.5151515151515151,0.00014450831475341756,0.5625
LRU,39,1.4814814814814816,0.00011212625642929986,0.5625
LRU,40,1.4388489208633095,0.0003815007213135293,0.5625
LRU,41,1.3986013986013985,0.00038435274183221227,0.5625
LRU,42,1.36986301369863,0.0003530678128991152,0.5625
LRU,43,1.3333333333333335,0.0003323242669673861,0.5625
LRU,44,1.2987012987012987,0.00045825219269153154,0.5625
LRU,45,1.2658227848101267,0.00014194781234813544,0.5625
LRU,46,1.2345679012345678,0.0002687911462365163,0.5625
LRU,47,1.2121212121212122,0.00045215215465938793,0.5625
LRU,48,1.183431952662722,0.0002490286237172804,0.5625
LRU,49,1.744186046511628,0.00035183460857301385,0.5625
LRU,50,1.7142857142857144,0.00019041749140943587,0.5625
LRU,51,1.675977653631285,0.0005185149235008621,0.5625
LRU,52,1.639344262295082,0.00011730872086418625,0.5625
LRU,53,2.1505376344086025,0.0004049684830012437,0.5625
LRU,54,2.1052631578947367,0.000336976160698449,0.5625
LRU,55,2.0618556701030926,0.00012541965958119144,0.5625
LRU,56,2.0202020202020203,0.00014111386461572928,0.5625
LRU,57,1.9900497512437811,0.0001417446558233935,0.5625
LRU,58,2.450980392156863,0.0001644500966758829,0.5625
LRU,59,2.403846153846154,6.109442012551173e-05,0.5625
LRU,60,2.3696682464454977,0.0004085171014710181,0.5625
LRU,61,2.3255813953488373,0.00016739951331164792,0.5625
LRU,62,2.28310502283105,8.606810121013095e-05,0.5625
LRU,63,2.690582959641256,0.00035923967072772826,0.5625
LRU,64,2.6548672566371683,0.00024516148930823865,0.5625
LRU,65,2.608695652173913,0.00014018669935357455,0.5625
LRU,66,2.564102564102564,0.00021114386238585655,0.5625
LRU,67,2.9535864978902953,0.0003459736449543531,0.5625
LRU,68,2.9166666666666665,0.0001292578964739588,0.5625
