Policy,Iteration,Cache Hit Ratio,Latency,Hop Reduction
LRU,1,0.0,0.03058743645671931,0.625
LRU,2,0.0,0.013345198325022855,0.5625
LRU,3,0.0,0.002111389132952962,0.5625
LRU,4,0.0,0.004639366788728455,0.5625
LRU,5,0.0,0.001351864875036925,0.5625
LRU,6,0.0,0.002110659382720671,0.5625
LRU,7,0.0,0.001255213411299693,0.5625
LRU,8,3.571428571428571,0.0011099555194732,0.5625
LRU,9,3.225806451612903,0.0006088314043141532,0.5625
LRU,10,2.941176470588235,0.0008182943391837341,0.5625
LRU,11,2.7027027027027026,0.0010985581782553984,0.5625
LRU,12,2.5,0.0006026009367334422,0.5625
LRU,13,2.3255813953488373,0.0010064343626391393,0.5625
LRU,14,2.127659574468085,0.0015026049330542233,0.5625
LRU,15,2.0,0.0015119276841526388,0.5625
LRU,16,1.8518518518518516,0.0007137465495336744,0.5625
LRU,17,1.7543859649122806,0.0002997362783653332,0.5625
LRU,18,3.278688524590164,0.001258414488508162,0.5625
LRU,19,3.125,0.0002044855672060044,0.5625
LRU,20,2.941176470588235,0.00133116368959664,0.5625
LRU,21,2.8169014084507045,0.0011909360034087339,0.5625
LRU,22,2.7027027027027026,0.00018014938591903677,0.5625
LRU,23,2.5974025974025974,0.0002208136445931253,0.5625
LRU,24,2.4691358024691357,0.0008060207107900094,0.5625
LRU,25,2.3529411764705883,0.0008946731566690142,0.5625
LRU,26,3.3707865168539324,0.00011949047271757653,0.5625
LRU,27,3.3707865168539324,0.00018861515204828693,0.5625
LRU,28,3.260869565217391,0.0007278795095387206,0.5625
LRU,29,3.1578947368421053,0.0005597140307716805,0.5625
LRU,30,4.081632653061225,0.0007457772455487404,0.5625
LRU,31,3.9215686274509802,0.0001851315086115498,0.5625
LRU,32,4.716981132075472,0.0008233696388752828,0.5625
LRU,33,4.587155963302752,0.0005097256010988506,0.5625
LRU,34,4.464285714285714,0.0004961047247837172,0.5625
LRU,35,4.3478260869565215,0.0005527127751394505,0.5625
LRU,36,4.201680672268908,0.0007022557767793163,0.5625
LRU,37,4.098360655737705,0.0007938552016370255,0.5625
LRU,38,4.0,0.0005820875257613837,0.5625
LRU,39,3.90625,0.00010045077638345328,0.5625
LRU,40,4.545454545454546,9.907020441338377e-05,0.5625
LRU,41,4.444444444444445,0.0002180912953973022,0.5625
LRU,42,4.3478260869565215,0.00010965988116868114,0.5625
LRU,43,4.225352112676056,0.00046899197457949776,0.5625
LRU,44,4.827586206896552,0.0003887158954451376,0.5625
LRU,45,5.405405405405405,0.00027154368457864183,0.5625
LRU,46,5.263157894736842,0.0001374507659430407,0.5625
LRU,47,5.161290322580645,0.00012541425669940751,0.5625
LRU,48,5.031446540880504,0.00018750788436314872,0.5625
LRU,49,4.938271604938271,0.00035297720431259585,0.5625
LRU,50,4.819277108433735,0.00014643375253849784,0.5625
LRU,51,4.733727810650888,0.00042554484846391526,0.5625
LRU,52,4.651162790697675,7.403287675456061e-05,0.5625
LRU,53,4.545454545454546,0.0004161440030445546,0.5625
LRU,54,4.444444444444445,0.0001211796962595169,0.5625
LRU,55,4.371584699453552,0.0005087367385461871,0.5625
LRU,56,4.27807486631016,0.00028955838411545194,0.5625
LRU,57,4.2105263157894735,0.00016250954440720142,0.5625
LRU,58,4.145077720207254,0.00032844587769316334,0.5625
LRU,59,4.060913705583756,0.00046939371260393666,0.5625
LRU,60,4.477611940298507,0.00011756616367647852,0.5625
LRU,61,4.411764705882353,0.0003500834110663094,0.5625
LRU,62,4.326923076923077,0.0004233930873594028,0.5625
LRU,63,4.326923076923077,9.932188676063903e-05,0.5625
LRU,64,4.739336492890995,0.00017115474943270038,0.5625
LRU,65,4.672897196261682,0.00031610815365518336,0.5625
LRU,66,5.0691244239631335,0.00012274704803976876,0.5625
LRU,67,5.0691244239631335,9.291409668834979e-05,0.5625
LRU,68,5.0,0.00036715360042156663,0.5625
LRU,69,4.910714285714286,0.00029289608245485453,0.5625
LRU,70,4.824561403508771,0.00027311645842079585,0.5625
LRU,71,4.741379310344827,0.00039522603679173295,0.5625
LRU,72,4.680851063829787,0.00023121808359463257,0.5625
LRU,73,5.02092050209205,9.483569346439303e-05,0.5625
LRU,74,4.938271604938271,0.00011219205662189691,0.5625
LRU,75,4.8582995951417,0.00024212616118103998,0.5625
LRU,76,4.780876494023905,0.00015003042372560414,0.5625
LRU,77,4.705882352941177,0.00037215198640395204,0.5625
LRU,78,4.651162790697675,0.0002400579154785858,0.5625
LRU,79,4.961832061068702,0.00037658365874180887,0.5625
LRU,80,5.283018867924529,0.0002067893140965587,0.5625
LRU,81,5.223880597014925,4.998883515950728e-05,0.5625
LRU,82,5.535055350553505,0.00026172186181159385,0.5625
LRU,83,5.454545454545454,0.00022032527954979014,0.5625
LRU,84,5.39568345323741,0.0001251930225602307,0.5625
LRU,85,5.338078291814947,0.00024124475836149933,0.5625
LRU,86,5.263157894736842,0.00024183128227792062,0.5625
LRU,87,5.190311418685121,0.00020348859375575256,0.5625
LRU,88,5.136986301369863,8.115919434314391e-05,0.5625
LRU,89,5.0675675675675675,8.574515867198794e-05,0.5625
LRU,90,5.351170568561873,0.00023855842003812368,0.5625
LRU,91,5.6105610561056105,0.0002680952992982229,0.5625
LRU,92,5.537459283387622,0.00016828505629216234,0.5625
LRU,93,5.466237942122187,0.00028973763059299794,0.5625
LRU,94,5.414012738853503,0.0002946157739221123,0.5625
LRU,95,5.3627760252365935,0.00027188476981968084,0.5625
LRU,96,5.625,0.0002181325495606827,0.5625
LRU,97,5.555555555555555,0.0002649042740810826,0.5625
LRU,98,5.7926829268292686,4.773252129469254e-05,0.5625
LRU,99,5.72289156626506,0.00021124843638979171,0.5625
LRU,100,5.654761904761905,0.00011137206819933949,0.5625
LFU,1,0.0,0.01940482354765956,0.625
LFU,2,0.0,0.00977511925949718,0.625
LFU,3,0.0,0.0031124321591255526,0.5625
LFU,4,0.0,0.0038909979368554307,0.5625
LFU,5,0.0,0.0026786473328027434,0.5625
LFU,6,0.0,0.0030473383735230464,0.5625
LFU,7,0.0,0.0038509285069336374,0.5625
LFU,8,0.0,0.0033207030279700646,0.5625
LFU,9,0.0,0.0007153038122496844,0.5625
LFU,10,0.0,0.001850217969952481,0.5625
LFU,11,0.0,0.0012277672248920718,0.5625
LFU,12,0.0,0.0010441398639153107,0.5625
LFU,13,0.0,0.0005093165838497598,0.5625
LFU,14,0.0,0.0017507146583778017,0.5625
LFU,15,0.0,0.0012951792247537096,0.5625
LFU,16,0.0,0.0007874946503102468,0.5625
LFU,17,0.0,0.0009088888619292677,0.5625
LFU,18,0.0,0.00032284487885934026,0.5625
LFU,19,1.4705882352941175,0.0008227884420759088,0.5625
LFU,20,1.4084507042253522,0.0007044041559280048,0.5625
LFU,21,1.3333333333333335,0.0009470888354486587,0.5625
LFU,22,1.282051282051282,0.0010440490606088459,0.5625
LFU,23,1.2345679012345678,0.0005192970543950171,0.5625
LFU,24,1.1904761904761905,0.0010029915414973213,0.5625
LFU,25,1.1363636363636365,0.00015378846478578383,0.5625
LFU,26,1.0869565217391304,0.0010029114240882114,0.5625
LFU,27,1.0526315789473684,0.000247853201881438,0.5625
LFU,28,1.0101010101010102,0.000656250389766469,0.5625
LFU,29,0.9708737864077669,0.0009592106612990283,0.5625
