num_publishers,num_users,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
4,2,LMM-1,15,13.422222222222222,2.491367813119314,34.14413746660577,6.1453076351852784,0.7435128533334197,0.04336224177830422
4,2,LMM-2,15,13.2,2.2053806255845507,33.59177670478895,5.712487397988316,0.7472473599868177,0.04168664054196536
4,4,LMM-1,15,13.366666666666667,2.420169874662153,36.026861736361965,6.5606131930887726,0.5033767513766135,0.07165744354321828
4,4,LMM-2,15,12.983333333333333,2.1964196455275253,32.49807702165386,6.06222239776755,0.5365995171231439,0.06852219797971094
4,6,LMM-1,15,13.37037037037037,2.511837543784407,37.761674523034216,7.228118782904786,0.3157674734584701,0.07899646430766567
4,6,LMM-2,15,13.148148148148149,2.1792763803240134,30.527695772898426,5.976819030363432,0.3650929109147339,0.07271991691710919
4,8,LMM-1,15,13.41111111111111,2.4958236721509666,40.025875164672776,7.841384214707692,0.17573632382443904,0.06949060975187454
4,8,LMM-2,15,12.91111111111111,2.2986442595797127,27.34622214017223,5.36615092183739,0.26564996807071456,0.07503255514260318
6,2,LMM-1,15,12.58888888888889,2.4220183400433144,31.162939624073584,6.03272726404277,0.7680626946187636,0.04286843055706314
6,2,LMM-2,15,12.366666666666667,2.0916057981404657,30.610431932905932,5.489632223307097,0.7718611192662288,0.04072448939540504
6,4,LMM-1,15,12.483333333333333,2.354310467584464,32.702787449067806,6.352053200788404,0.5423102479170221,0.07039670715158829
6,4,LMM-2,15,12.116666666666667,2.0594857322840285,29.39142332937987,5.759213833273621,0.5742372198861436,0.06786822561357386
6,6,LMM-1,15,12.481481481481483,2.4682899785846364,34.43691622460436,6.965885638784283,0.35085147552490353,0.07920330481287483
6,6,LMM-2,15,12.266666666666667,2.03874002887808,27.414426882524655,5.626557006011387,0.400306836143464,0.0718009822840134
6,8,LMM-1,15,12.58888888888889,2.4220183400433144,36.9992398796815,7.2107858613069835,0.19302240815972857,0.06910072797399273
6,8,LMM-2,15,11.997222222222224,2.1749024385668316,25.136944706461826,4.991390620195795,0.2996657711437533,0.07578357630313627
8,2,LMM-1,15,11.18888888888889,2.886665811307717,26.808670492262266,7.194424329214722,0.8056063415092459,0.0529649169708225
8,2,LMM-2,15,10.955555555555556,2.58160635225913,26.241510447905743,6.619166335288906,0.809602203860306,0.049982221820183685
8,4,LMM-1,15,11.072222222222223,2.800606195402773,28.040609259548845,7.513201121846834,0.6067495820497759,0.08898936937254719
8,4,LMM-2,15,10.833333333333334,2.3597708614436526,25.44690763356442,6.3195390733312795,0.6319526554990935,0.0768791726995397
8,6,LMM-1,15,11.059259259259258,2.7320281938746898,29.37843665322099,7.80124535893206,0.42813684850755607,0.10031744757260248
8,6,LMM-2,15,10.84074074074074,2.452416853329909,23.228764577014385,6.3898538836844,0.4812900936404256,0.09280772928465471
8,8,LMM-1,15,11.155555555555557,2.8960168473693164,31.27387123594239,8.677080858387061,0.2734709830580329,0.10083416250051448
8,8,LMM-2,15,10.783333333333333,2.453983911324,21.931244735243805,5.457577886332027,0.3626301393839514,0.08503620250573803
10,2,LMM-1,15,8.944444444444445,1.9433330156914803,21.030487484014806,5.121519217826111,0.8513906654024921,0.04084962889612746
10,2,LMM-2,15,8.78888888888889,2.0606243809841165,20.64317981578731,5.425466472417364,0.8554503360172167,0.04369335065125582
10,4,LMM-1,15,8.872222222222224,1.8769722137948726,22.0175700896821,5.418312417438379,0.6873541238760001,0.07714110066703528
10,4,LMM-2,15,8.71111111111111,2.1090340659548446,20.34086792274429,5.126699260867535,0.7113448418527047,0.08180465391360468
10,6,LMM-1,15,8.822222222222223,1.8503920171909385,22.96628845501809,5.825191773459766,0.5279827927314591,0.10081723092455211
10,6,LMM-2,15,8.674074074074074,2.1121699748702714,17.702283446744993,5.240305484318124,0.5855195005006105,0.1112244674117088
10,8,LMM-1,15,8.955555555555556,1.926872986518011,24.50879756726886,6.435181161476176,0.37483456448360764,0.11287625910113332
10,8,LMM-2,15,8.619444444444444,2.0955125481624233,17.184869464694994,4.8235101507007805,0.4789379401258757,0.12571080473876578
