iteration,seed,num_publishers,num_users,arrival_window_used,chunking_mode,auth_mode,lmm,avg_hops,avg_delay,avg_success_rate
2,1201,8,6,20.0,without_chunking,with_auth,LMM-2,8.5,6.40277777777778,0.8241164365777788
2,1201,8,8,20.0,without_chunking,with_auth,LMM-1,8.5,8.625000000000004,0.759714281504758
2,1201,8,8,20.0,without_chunking,with_auth,LMM-2,8.5,5.500000000000003,0.82382936139183
2,1201,10,2,20.0,without_chunking,with_auth,LMM-1,8.5,8.625000000000004,0.8685541853032901
2,1201,10,2,20.0,without_chunking,with_auth,LMM-2,8.0,8.150000000000002,0.8781151747397533
2,1201,10,4,20.0,without_chunking,with_auth,LMM-1,8.5,8.625000000000004,0.8463634211344048
2,1201,10,4,20.0,without_chunking,with_auth,LMM-2,7.625,7.793750000000004,0.8727988824283157
2,1201,10,6,20.0,without_chunking,with_auth,LMM-1,8.5,8.625000000000004,0.8246989168553124
2,1201,10,6,20.0,without_chunking,with_auth,LMM-2,7.25,5.770833333333336,0.8784757508305514
2,1201,10,8,20.0,without_chunking,with_auth,LMM-1,8.5,8.625000000000004,0.8035950738465498
2,1201,10,8,20.0,without_chunking,with_auth,LMM-2,7.625,5.293750000000004,0.8723915817184056
3,1202,4,2,20.0,without_chunking,with_auth,LMM-1,13.5,13.375000000000009,0.7516371958315168
3,1202,4,2,20.0,without_chunking,with_auth,LMM-2,13.5,13.375000000000009,0.7516371958315168
3,1202,4,4,20.0,without_chunking,with_auth,LMM-1,13.5,13.375000000000007,0.722803113514773
3,1202,4,4,20.0,without_chunking,with_auth,LMM-2,13.5,8.37500000000001,0.751723285202112
3,1202,4,6,20.0,without_chunking,with_auth,LMM-1,13.5,13.375000000000007,0.6950250731252403
3,1202,4,6,20.0,without_chunking,with_auth,LMM-2,13.5,8.930555555555564,0.7417032619700458
3,1202,4,8,20.0,without_chunking,with_auth,LMM-1,13.5,13.375000000000005,0.6683589081653445
3,1202,4,8,20.0,without_chunking,with_auth,LMM-2,13.5,7.750000000000008,0.7420757585623423
3,1202,6,2,20.0,without_chunking,with_auth,LMM-1,9.25,9.337500000000006,0.8412858533152171
3,1202,6,2,20.0,without_chunking,with_auth,LMM-2,9.25,9.337500000000006,0.8412858533152171
3,1202,6,4,20.0,without_chunking,with_auth,LMM-1,9.25,9.337500000000004,0.8218750723032311
3,1202,6,4,20.0,without_chunking,with_auth,LMM-2,9.25,8.087500000000006,0.8263547468313499
3,1202,6,6,20.0,without_chunking,with_auth,LMM-1,9.25,9.337500000000006,0.8029109971101533
3,1202,6,6,20.0,without_chunking,with_auth,LMM-2,9.25,7.115277777777781,0.8232429668046326
3,1202,6,8,20.0,without_chunking,with_auth,LMM-1,9.25,9.337500000000006,0.7843348449454943
3,1202,6,8,20.0,without_chunking,with_auth,LMM-2,9.25,6.525000000000006,0.8225245860740611
3,1202,8,2,20.0,without_chunking,with_auth,LMM-1,9.25,9.337500000000006,0.8593525596139047
3,1202,8,2,20.0,without_chunking,with_auth,LMM-2,7.5,7.537500000000005,0.8913970111433189
3,1202,8,4,20.0,without_chunking,with_auth,LMM-1,9.25,9.337500000000004,0.8438936043024542
3,1202,8,4,20.0,without_chunking,with_auth,LMM-2,7.125,5.931250000000006,0.8923428291861673
3,1202,8,6,20.0,without_chunking,with_auth,LMM-1,9.25,9.337500000000004,0.8286967446175199
3,1202,8,6,20.0,without_chunking,with_auth,LMM-2,6.75,5.713888888888891,0.8922746521680607
3,1202,8,8,20.0,without_chunking,with_auth,LMM-1,9.25,9.337500000000006,0.8137577985123721
3,1202,8,8,20.0,without_chunking,with_auth,LMM-2,6.75,4.637500000000005,0.8924799669660227
3,1202,10,2,20.0,without_chunking,with_auth,LMM-1,8.0,8.150000000000006,0.8742164621165912
3,1202,10,2,20.0,without_chunking,with_auth,LMM-2,6.0,6.250000000000002,0.9257209417990864
3,1202,10,4,20.0,without_chunking,with_auth,LMM-1,8.0,8.150000000000004,0.8446357593077207
3,1202,10,4,20.0,without_chunking,with_auth,LMM-2,5.25,5.537500000000003,0.9336270023781787
3,1202,10,6,20.0,without_chunking,with_auth,LMM-1,8.25,8.387500000000005,0.8399698691358467
3,1202,10,6,20.0,without_chunking,with_auth,LMM-2,5.416666666666666,4.584722222222224,0.9239559115532171
3,1202,10,8,20.0,without_chunking,with_auth,LMM-1,8.25,8.387500000000003,0.8190800203718795
3,1202,10,8,20.0,without_chunking,with_auth,LMM-2,5.875,4.256250000000003,0.9204867353702411
