iteration,num_publishers,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
1,4,LMM-1,4,10.375,0.125,10.406250000000005,0.11875000000000036,0.767200467384301,0.018775777121900074
1,4,LMM-2,4,10.5,0.0,7.7819444444444485,1.864360244258167,0.7815881607866647,0.014426265084829417
1,6,LMM-1,4,8.5,0.0,8.625000000000004,7.691850745534255e-16,0.8154348984632952,0.022715006961483233
1,6,LMM-2,4,8.5,0.0,7.444444444444448,1.1846334798077762,0.8308420551597623,0.008847408629540036
1,8,LMM-1,4,7.5,0.0,7.675000000000004,4.440892098500626e-16,0.8517836322034966,0.014986939410386967
1,8,LMM-2,4,7.208333333333334,0.12500000000000014,6.2173611111111144,1.1117708544796316,0.8761928002121456,0.006559528062177366
1,10,LMM-1,4,6.5,0.0,6.725000000000003,0.0,0.86270283245961,0.021910379289893967
1,10,LMM-2,4,6.208333333333334,0.29755951785595225,5.545138888888892,0.9426809004602734,0.9010817714700649,0.008645573362576962
2,4,LMM-1,4,11.5,0.0,11.475000000000007,1.472877282518059e-15,0.7523844939220521,0.02946790884155942
2,4,LMM-2,4,11.5,0.0,8.73194444444445,1.8643602442581673,0.7796693497731376,0.012685249541164506
2,6,LMM-1,4,9.875,0.375,9.931250000000006,0.35624999999999973,0.7904462918799384,0.022726844674396767
2,6,LMM-2,4,9.5,0.0,7.613194444444449,1.1788948695392343,0.8069220139647095,0.011317111761723852
2,8,LMM-1,4,8.5,0.0,8.625000000000004,0.0,0.8069515926181127,0.035680112301938335
2,8,LMM-2,4,8.5,0.0,6.663194444444448,1.1788948695392334,0.836068714143233,0.013141339100888105
2,10,LMM-1,4,8.5,0.0,8.625000000000004,0.0,0.8358028992848893,0.0242116387449099
2,10,LMM-2,4,7.625,0.2651650429449553,6.752083333333337,1.2378235056945717,0.8754453474292565,0.0028565969553135985
3,4,LMM-1,4,13.5,0.0,13.375000000000007,1.2560739669470201e-15,0.7094560726592186,0.031042798394565918
3,4,LMM-2,4,13.5,0.0,9.607638888888898,2.214817851071714,0.7467848753915042,0.004897230885559537
3,6,LMM-1,4,9.25,0.0,9.337500000000006,7.691850745534255e-16,0.8126016919185239,0.02122322373283962
3,6,LMM-2,4,9.25,0.0,7.766319444444449,1.064952405311479,0.8283520382563152,0.007604843112270197
3,8,LMM-1,4,9.25,0.0,9.337500000000006,8.881784197001252e-16,0.8364251767615627,0.01699250566049903
3,8,LMM-2,4,7.03125,0.31093357409581873,5.955034722222226,1.0366787262188206,0.8921236148658924,0.0004259715289150062
3,10,LMM-1,4,8.125,0.125,8.268750000000004,0.11874999999999947,0.8444755277330096,0.01968363283091716
3,10,LMM-2,4,5.635416666666666,0.31093357409581884,5.157118055555558,0.7871279457130546,0.9259476477751808,0.004816961183943921
