num_publishers,num_users,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
4,2,LMM-1,50,12.973333333333333,2.573985236942901,22.358141379740943,4.438798192389063,0.7173232535860835,0.058634853586975774
4,2,LMM-2,50,12.973333333333333,2.573985236942901,22.35602301784884,4.435548599934598,0.7174230228232568,0.058427606504846775
4,4,LMM-1,50,13.0275,2.8118130025147674,23.075654295208157,5.172512323785019,0.44381013037990513,0.09515768150096826
4,4,LMM-2,50,12.968333333333332,2.832286080967889,16.45615468703726,3.4504101284808084,0.48036098562003454,0.08036121345307072
4,6,LMM-1,50,13.017222222222221,2.420717486231747,23.473155929280992,4.608039003439641,0.25597252768611695,0.08693131298585202
4,6,LMM-2,50,12.956111111111111,2.4915294152709686,20.770915518802152,4.569980396404177,0.2868859662307892,0.0857163773412283
4,8,LMM-1,50,13.030416666666667,2.538000121760351,24.110588737156604,5.052939446502029,0.12821201908760227,0.07019921015641266
4,8,LMM-2,50,12.91,2.6039747929314183,19.50963561693303,4.952041065488185,0.17023167216248447,0.07360342602710464
6,2,LMM-1,50,11.811666666666667,2.273140876506435,20.141607541502964,3.9147311090819263,0.7426172369218712,0.06886707741015338
6,2,LMM-2,50,11.761666666666667,2.273397481988381,20.05267756694651,3.920251497411084,0.7442226648344176,0.06485417556662042
6,4,LMM-1,50,11.565,2.225923029516819,20.211963441396705,4.042234204490077,0.4712630906112382,0.1126061933347894
6,4,LMM-2,50,11.4475,2.4493027635998326,15.412155069324434,2.935390804943894,0.5095580142080378,0.08827721511387895
6,6,LMM-1,50,12.075555555555557,2.1473931942856197,21.425166497789345,3.969812709025657,0.28293254038926974,0.0916545566129746
6,6,LMM-2,50,11.866666666666667,2.203588543520728,18.563482173688318,3.9055168114910295,0.31996547591565855,0.0857524883960446
6,8,LMM-1,50,11.695,2.0831906617814253,21.277040550178295,4.052939032540561,0.15432010213925845,0.07531777158594513
6,8,LMM-2,50,11.415416666666667,2.2155989361419484,16.525188954219175,4.043888802252168,0.2075787618198097,0.07675394019067096
8,2,LMM-1,50,10.34,2.1999267664578697,17.37121288081511,3.730476082363894,0.769526622028932,0.061211530515174487
8,2,LMM-2,50,10.235,2.211503385080435,17.182607194266176,3.754232654087213,0.773520273517163,0.054862291192313464
8,4,LMM-1,50,10.548333333333332,2.4015382801677574,18.155689523286227,4.302143866375562,0.5242114973365549,0.10410015370960253
8,4,LMM-2,50,10.228333333333333,2.7207949206068434,13.856290793224291,2.4561847281629436,0.5639016566291936,0.08899675672329678
8,6,LMM-1,50,10.452222222222222,2.1791877521818215,18.20407351507034,3.94698926786237,0.34116747039222817,0.1046244820880005
8,6,LMM-2,50,10.11888888888889,2.2846308830104127,15.474539983854806,3.783316218644938,0.38778377588076823,0.09313751028009731
8,8,LMM-1,50,10.538333333333332,2.192887651020909,18.796728082802982,4.158549608826467,0.19749829295015092,0.08374577262455411
8,8,LMM-2,50,10.1625,2.396474551873601,14.027705309075358,4.245437884953862,0.2645494703891562,0.08801916448524341
10,2,LMM-1,50,9.139166666666666,2.065786270809898,15.180727746760136,3.4441960955729676,0.7957393771362591,0.0678137342487999
10,2,LMM-2,50,8.96,2.1144502831705454,14.8728582393528,3.51832473620049,0.8022865791610392,0.06033842048379628
10,4,LMM-1,50,9.370833333333334,1.8580950893619819,15.92868289457392,3.2392301967620925,0.5544099227256793,0.1225529800325507
10,4,LMM-2,50,8.71,2.2435433594106344,12.811360608121236,2.6263344961265034,0.6015150504525857,0.09946098328946515
10,6,LMM-1,50,9.3,1.906632348823508,15.993881408366335,3.3369490813415266,0.3916332062518543,0.12371566978366515
10,6,LMM-2,50,8.800555555555555,2.013913333184983,13.482647627711456,3.0295109366131667,0.4461172938775892,0.09996013290992596
10,8,LMM-1,50,9.281458333333333,1.7791038362247,16.32246838022762,3.283394761609798,0.23965531598764847,0.11932242699318038
10,8,LMM-2,50,8.627916666666666,2.111114807197057,11.297178295633925,3.525596800517762,0.32824213875678965,0.11531723147502827
