Simulation Time,Subscribers,Total Requests,Explored Paths,Selected Disjoint Paths,Cache Hit Ratio (%),Method
2025-12-28 18:27:42,1,1640,143,152,0.548780487804878,StrictSelection
2025-12-28 18:27:42,1,1660,144,153,0.5421686746987951,StrictSelection
2025-12-28 18:27:42,1,1680,145,154,0.5357142857142857,StrictSelection
2025-12-28 18:27:43,1,1700,146,155,0.5294117647058824,StrictSelection
2025-12-28 18:27:43,1,1720,146,155,0.5232558139534884,StrictSelection
2025-12-28 18:27:43,1,1740,146,155,0.5172413793103449,StrictSelection
2025-12-28 18:27:43,1,1760,146,155,0.5113636363636364,StrictSelection
2025-12-28 18:27:43,1,1780,146,155,0.5056179775280899,StrictSelection
2025-12-28 18:27:43,1,1800,146,155,0.5,StrictSelection
2025-12-28 18:27:43,1,1820,146,155,0.49450549450549447,StrictSelection
2025-12-28 18:27:43,1,1840,146,155,0.48913043478260876,StrictSelection
2025-12-28 18:27:43,1,1860,146,155,0.4838709677419355,StrictSelection
