Simulation Time,Subscribers,Total Requests,Explored Paths,Selected Disjoint Paths,Cache Hit Ratio (%),Average Hops per Chunk,Method
2025-12-28 18:51:17,2,11,18,9,0.0,1.0,StrictSelection-v2
2025-12-28 18:51:17,2,22,36,18,0.0,1.0,StrictSelection-v2
2025-12-28 18:51:17,2,33,54,27,0.0,1.0,StrictSelection-v2
2025-12-28 18:51:17,2,38,63,30,0.0,1.0,StrictSelection-v2
2025-12-28 18:51:17,2,49,81,36,0.0,1.0,StrictSelection-v2
2025-12-28 18:51:17,2,60,99,45,0.0,1.0,StrictSelection-v2
2025-12-28 18:51:17,2,71,118,56,1.4084507042253522,1.0,StrictSelection-v2
2025-12-28 18:51:17,2,82,136,67,1.2195121951219512,1.0,StrictSelection-v2
2025-12-28 18:51:17,2,93,154,74,1.0752688172043012,1.0,StrictSelection-v2
2025-12-28 18:51:17,2,104,172,83,0.9615384615384616,1.0,StrictSelection-v2
