num_publishers,num_users,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
4,2,LMM-1,3,12.276961896529755,1.2203264978423267,26.76994883109091,2.822138708135166,0.8647422719179508,0.0872939959510152
4,2,LMM-2,3,11.233333333333334,1.247219128924647,23.571377800762566,3.233471562381464,0.850090291625889,0.02426162554469488
4,3,LMM-1,3,11.99036689588339,1.1945121217595365,26.04414789153132,2.776731729114757,0.7856981358339036,0.08879667024843949
4,3,LMM-2,3,11.266666666666666,1.0855959278288212,23.836911845945497,2.880032346531361,0.7807954053427624,0.03099780448238209
4,4,LMM-1,3,11.671942712384697,1.118583010555271,25.42349083685755,2.7158303938859083,0.7352191604243093,0.08773648237019256
4,4,LMM-2,3,10.833333333333334,1.2573671787597374,22.968279070457346,3.3905857301802818,0.7303278208646411,0.051983128948901884
5,2,LMM-1,3,11.7494191124064,1.620723090981798,25.24946035721706,3.793222062707591,0.8714050479674512,0.08704987816786919
5,2,LMM-2,3,11.1,1.3247641299491772,23.183786145139567,3.3736273015088067,0.8541152359367851,0.024833045208774166
5,3,LMM-1,3,11.490087335083109,1.6147175642555007,24.793352303832037,3.649269764836175,0.8172948960807829,0.12180934701293879
5,3,LMM-2,3,10.688888888888888,1.640535895581489,22.40782944840647,4.135591086938086,0.8058618769739944,0.052719570407401425
5,4,LMM-1,3,11.234015701386094,1.4450718023079612,24.436438336098764,3.3819077057628757,0.7896110599645959,0.14697508629420294
5,4,LMM-2,3,10.616666666666667,1.4664772604972622,22.365283499269253,3.928248061835907,0.7437177437359472,0.066252240337344
6,2,LMM-1,3,10.915779364260914,0.7735676225823296,23.24210951360395,1.923422131603276,0.8839601288583342,0.07602760210326139
6,2,LMM-2,3,10.4,0.8134289561274956,21.45149006180902,2.2299332598856014,0.868539387835464,0.01945675980835381
6,3,LMM-1,3,10.48992050808537,0.6344536261668318,22.500510229290985,1.5677785183484803,0.8359706954267705,0.10635369339389751
6,3,LMM-2,3,9.811111111111112,0.7365250408522915,20.342105828677884,2.08218990671843,0.8239257324037977,0.025297245499459723
6,4,LMM-1,3,10.318849721186597,0.48197252379675554,22.30732552012485,1.351468052037871,0.8112232067787571,0.12695910989702497
6,4,LMM-2,3,9.983333333333333,0.8879595836648322,20.833381168640575,2.4491033938561015,0.7704398255951822,0.04026967782661652
