iteration,seed,num_publishers,num_users,lmm,avg_hops,avg_delay,avg_success_rate
1,1000,4,2,LMM-1,11.330885689589266,25.793914307053427,0.9844005803808814
1,1000,4,2,LMM-2,10.9,22.808662861921327,0.8473396524623331
1,1000,4,3,LMM-1,10.97110068765017,24.524656069635444,0.9051953348536722
1,1000,4,3,LMM-2,10.433333333333334,21.89094879565861,0.7895439152485394
1,1000,4,4,LMM-1,10.978534803815325,24.045698830059322,0.8285602738314678
1,1000,4,4,LMM-2,10.125,21.033824915926548,0.7568758872633672
1,1000,5,2,LMM-1,10.248257337219199,22.75910175524692,0.9878627541918732
1,1000,5,2,LMM-2,9.75,20.01643466163473,0.8822530628177996
1,1000,5,3,LMM-1,9.803595338582662,21.886158037649274,0.9825396572878992
1,1000,5,3,LMM-2,8.8,17.936687012107207,0.8681345935393885
1,1000,5,4,LMM-1,9.935843863704822,22.165150198284053,0.9767873808719727
1,1000,5,4,LMM-2,9.1,18.44751055749528,0.818870074069394
1,1000,6,2,LMM-1,10.247338092782742,22.527355298835204,0.9884110653076906
1,1000,6,2,LMM-2,9.8,19.9748171017646,0.8744344449508107
1,1000,6,3,LMM-1,9.803094857589446,21.66777525577965,0.9833417994943989
1,1000,6,3,LMM-2,9.033333333333333,18.425225519058728,0.8364332191462257
1,1000,6,4,LMM-1,9.95654916355979,21.98706500807281,0.9778579465271117
1,1000,6,4,LMM-2,9.525,19.543544138698365,0.7751056985032418
2,1001,4,2,LMM-1,14.0,30.609416195356054,0.7786114161163133
2,1001,4,2,LMM-2,12.9,27.85743845463213,0.8218469481849979
2,1001,4,3,LMM-1,13.666666666666666,29.93976961245685,0.6925191976981916
2,1001,4,3,LMM-2,12.8,27.908570561567007,0.7392204312447637
2,1001,4,4,LMM-1,13.25,29.21720068041422,0.6177523261421974
2,1001,4,4,LMM-2,12.6,27.735180177632042,0.6576840254049837
2,1001,5,2,LMM-1,14.0,30.609416195356054,0.7786114161163133
2,1001,5,2,LMM-2,12.9,27.85743845463213,0.8218469481849979
2,1001,5,3,LMM-1,13.666666666666666,29.93976961245685,0.6925191976981916
2,1001,5,3,LMM-2,12.8,27.908570561567007,0.7392204312447637
2,1001,5,4,LMM-1,13.25,29.21720068041422,0.6177523261421974
2,1001,5,4,LMM-2,12.6,27.735180177632042,0.6576840254049837
2,1001,6,2,LMM-1,12.0,25.8724084968707,0.8096485602875758
2,1001,6,2,LMM-2,11.55,24.60301556097608,0.8423155949820526
2,1001,6,3,LMM-1,11.333333333333334,24.696430629508555,0.7362470863955359
2,1001,6,3,LMM-2,10.8,23.236379039410913,0.7886444499303641
2,1001,6,4,LMM-1,11.0,24.099256544269842,0.6700044465023114
2,1001,6,4,LMM-2,11.225,24.262074365197567,0.7189526151571578
3,1002,4,2,LMM-1,11.5,23.906515990863248,0.8312148192566575
3,1002,4,2,LMM-2,9.9,20.04803208573424,0.881084274230336
3,1002,4,3,LMM-1,11.333333333333334,23.66801799250167,0.759379874949847
3,1002,4,3,LMM-2,10.566666666666666,21.711216180610887,0.8136218695349842
3,1002,4,4,LMM-1,10.78729333333876,23.007573000099104,0.7593448812992629
3,1002,4,4,LMM-2,9.775,20.135832117813457,0.7764235499255723
3,1002,5,2,LMM-1,11.0,22.379863121048203,0.847740973594167
3,1002,5,2,LMM-2,10.65,21.67748531915184,0.8582456968075579
3,1002,5,3,LMM-1,11.0,22.55412926138999,0.776825833256258
3,1002,5,3,LMM-2,10.466666666666665,21.3782307715452,0.8102306061378309
3,1002,5,4,LMM-1,10.51620324045346,21.926964129598023,0.7742934728796176
3,1002,5,4,LMM-2,10.15,20.91315976268043,0.7545991317334639
3,1002,6,2,LMM-1,10.5,21.326564745105944,0.8538207609797359
3,1002,6,2,LMM-2,9.85,19.776637522686382,0.8888681235735291
3,1002,6,3,LMM-1,10.333333333333334,21.137324802584754,0.7883232003903766
3,1002,6,3,LMM-2,9.6,19.364712927564003,0.8466995281348035
3,1002,6,4,LMM-1,10.0,20.83565500803189,0.7858072273068484
3,1002,6,4,LMM-2,9.2,18.69452500202579,0.8172611631251471
