num_users,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
2,LMM-1,2100,12.396904761904763,2.865179283092602,24.793809523809525,5.730358566185204,0.8978072113970089,0.030581562311817412
2,LMM-2,2100,9.228095238095237,2.307363201429428,18.456190476190475,4.614726402858856,0.9215259830348926,0.026331464676504168
3,LMM-1,2100,12.102539682539682,2.830122158778748,24.205079365079364,5.660244317557496,0.8525510205664898,0.041899018797805776
3,LMM-2,2100,9.066190476190476,2.1247868951878934,18.132380952380952,4.249573790375787,0.8847349883563576,0.034485636559904824
4,LMM-1,2100,11.832261904761905,2.7992751405244674,23.66452380952381,5.598550281048935,0.8106275172905033,0.051652336025622844
4,LMM-2,2100,8.933571428571428,2.050709309841204,17.867142857142856,4.101418619682408,0.8493315125194186,0.042377741353123215
5,LMM-1,2100,11.593714285714285,2.755586276619035,23.18742857142857,5.51117255323807,0.7712503945737209,0.05990412833877613
5,LMM-2,2100,8.823904761904762,1.949871788331147,17.647809523809524,3.899743576662294,0.8149780047136994,0.04804789473606718
6,LMM-1,2100,11.361587301587301,2.726369491130429,22.723174603174602,5.452738982260858,0.7349744699156436,0.06726036358476556
6,LMM-2,2100,8.693492063492062,1.874838963438167,17.386984126984125,3.749677926876334,0.782645049933493,0.05316563484625456
7,LMM-1,2100,11.14387755102041,2.699855830396968,22.28775510204082,5.399711660793936,0.7011679151970712,0.07389922969416911
7,LMM-2,2100,8.608027210884353,1.8216817738475117,17.216054421768707,3.6433635476950235,0.7508415918261855,0.05785817326176568
8,LMM-1,2100,10.933809523809524,2.6821710310696627,21.867619047619048,5.364342062139325,0.6697688528731027,0.07964370208892202
8,LMM-2,2100,8.512261904761905,1.7842936452160212,17.02452380952381,3.5685872904320424,0.7208226765302536,0.06179531403484618
