num_publishers,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
4,LMM-1,2100,13.396774943310657,2.7532507508154707,26.793549886621314,5.506501501630941,0.7300987754724104,0.10527731703752723
4,LMM-2,2100,9.967108276643991,2.0733365730518707,19.934216553287982,4.146673146103741,0.7858431290862176,0.09033378808655794
5,LMM-1,2100,12.78830328798186,2.7124560332286407,25.57660657596372,5.424912066457281,0.7465279563489597,0.1012339271715489
5,LMM-2,2100,9.683212018140589,1.99721104069273,19.366424036281177,3.99442208138546,0.7948742812649078,0.0864920710966891
6,LMM-1,2100,12.142600340136054,2.5956012669088544,24.28520068027211,5.191202533817709,0.7633135583845034,0.09606561487711635
6,LMM-2,2100,9.243613378684806,1.9340520399096706,18.487226757369612,3.868104079819341,0.8073015966304423,0.08257104693946841
7,LMM-1,2100,11.596298752834466,2.57520723484851,23.19259750566893,5.15041446969702,0.7781964290071609,0.09165903318048733
7,LMM-2,2100,8.801687641723356,1.8461696567307933,17.603375283446713,3.6923393134615865,0.8193954190137798,0.07871159714913155
8,LMM-1,2100,11.046261904761906,2.5140552917255317,22.09252380952381,5.028110583451063,0.7923812163121847,0.08693375187266612
8,LMM-2,2100,8.466232426303854,1.809382957616392,16.93246485260771,3.618765915232784,0.8286798382083964,0.07570084971720448
9,LMM-1,2100,10.455030045351474,2.412021576680414,20.91006009070295,4.824043153360828,0.8072912471050597,0.08229809135287695
9,LMM-2,2100,8.057684807256237,1.630430475110924,16.115369614512474,3.260860950221848,0.8392652573025284,0.07109114633721007
10,LMM-1,2100,9.939425736961452,2.3366065953436106,19.878851473922904,4.673213190687221,0.8203381991832612,0.07820076401869613
10,LMM-2,2100,7.646004535147393,1.6015752603035296,15.292009070294785,3.203150520607059,0.8495202854080279,0.06827395625104526
