iteration,num_publishers,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
1,4,LMM-1,4,12.0,0.0,32.930070156063906,1.537234739937607,0.47870668611706035,0.20231113478851145
1,4,LMM-2,4,12.0,0.0,29.15907223310831,1.7035476661673692,0.5032666938264087,0.18643595493984236
1,6,LMM-1,4,12.10763888888889,0.08355006538552763,33.07319996322394,2.1963662303353457,0.33424065656428853,0.22528767100483452
1,6,LMM-2,4,12.0625,0.06909634979907066,28.840300958732726,1.8969888688568801,0.3642441517533062,0.20945732850669588
1,8,LMM-1,4,11.272569444444445,0.26312824401976637,29.45834113544799,2.2718703269505602,0.3336026841058218,0.24155999969114095
1,8,LMM-2,4,11.074652777777777,0.33367224524279826,25.08859241688789,2.2314047099820713,0.3790096642137121,0.22793843724807536
1,10,LMM-1,4,9.883680555555555,0.22294668152032635,25.393742067578746,2.044075087780776,0.38131421495851836,0.24538193450259768
1,10,LMM-2,4,9.730902777777779,0.128741740565711,21.68212421298245,1.0330667273507401,0.4323510527994643,0.21374562516797846
2,4,LMM-1,4,10.0,0.0,28.240361655837766,1.3393207249466494,0.516581688095723,0.19330964140094506
2,4,LMM-2,4,10.0,0.0,24.586369429504714,1.6873782166576528,0.5398966543001653,0.17770911804035536
2,6,LMM-1,4,8.86111111111111,0.0340206908719881,23.405253254090365,0.8451594755996524,0.4525637393887806,0.20219031447947192
2,6,LMM-2,4,8.82638888888889,0.06014065304058583,20.34642139678097,1.2319635094194066,0.47560989445447865,0.1883345228256909
2,8,LMM-1,4,8.184027777777779,0.05138419648246117,21.208659327654146,0.7923898371048532,0.42040633837369856,0.2064042065037073
2,8,LMM-2,4,7.786458333333333,0.12532509807829134,17.125172806216906,1.4300328826727602,0.4699588056030775,0.18058125975859976
2,10,LMM-1,4,6.543402777777778,0.08678819270798606,16.43653277591588,0.7635038741996212,0.5161029961222736,0.19487341475770248
2,10,LMM-2,4,6.034722222222222,0.24562137755315835,13.041102873249615,1.7919967015142138,0.581278053826576,0.14888626548076134
3,4,LMM-1,4,16.0,0.0,46.321598248053775,3.2432692733488326,0.3439946965956002,0.22693010904665645
3,4,LMM-2,4,16.0,0.0,41.56551551762479,2.133720436072342,0.3745248822491753,0.2108351350326016
3,6,LMM-1,4,13.0,0.0,37.73918524823,2.562199991727937,0.4144271023634294,0.22276714391958585
3,6,LMM-2,4,13.0,0.0,33.372350273266825,1.9048751708784595,0.44656168357609344,0.20397383672389002
3,8,LMM-1,4,12.177083333333332,0.07438987946398765,33.274756601011326,1.646727236089875,0.4657246580285443,0.20451213052486114
3,8,LMM-2,4,12.086805555555555,0.06393039110945112,29.453707650001178,1.8062525451528264,0.48786358706648647,0.19262983673826062
3,10,LMM-1,4,10.0,0.0,26.307026189979723,1.5412946207058065,0.5437911997551451,0.19901470213282368
3,10,LMM-2,4,10.0,0.0,22.959866416429705,1.0575380333139324,0.5751841431252152,0.1766593879981295
4,4,LMM-1,4,11.29861111111111,0.03608439182435178,29.897484764862075,1.6768937311348633,0.37988804819531896,0.22160028941545526
4,4,LMM-2,4,11.270833333333334,0.036084391824351865,26.01414230243677,1.7729629860354819,0.4080643403229332,0.20677762082198448
4,6,LMM-1,4,10.672453703703704,0.017128065494154333,27.672354435656093,1.4439428833515475,0.3687165200661038,0.2390495142878093
4,6,LMM-2,4,10.274305555555557,0.39214595870938,22.69072576618046,1.8034461877536268,0.4016746897644272,0.22097674461770037
4,8,LMM-1,4,9.234953703703704,0.05868637654669985,23.443283740126763,1.1388895062608353,0.4159875407898667,0.23784555375330144
4,8,LMM-2,4,9.123842592592593,0.19153956131667108,19.364623336610478,1.8463197009928436,0.46410873240917144,0.21753099543822396
