iteration,seed,num_publishers,num_users,arrival_window_used,lmm,avg_hops,avg_delay,avg_success_rate
1,1000,4,2,40.0,LMM-1,11.333333333333334,27.812886815460207,0.7933619925035854
1,1000,4,2,40.0,LMM-2,11.0,26.561224688321953,0.8099848544778423
1,1000,4,4,40.0,LMM-1,11.0,29.757842178385943,0.5537350799804873
1,1000,4,4,40.0,LMM-2,11.0,27.285009889473425,0.6295662617230612
1,1000,4,6,40.0,LMM-1,11.0,31.935591219583216,0.3418948191782801
1,1000,4,6,40.0,LMM-2,11.0,28.10560706261268,0.4721923804517579
1,1000,4,8,40.0,LMM-1,11.083333333333334,34.094790857162515,0.18921188698098798
1,1000,4,8,40.0,LMM-2,11.0,28.644504329850154,0.34391484842333325
1,1000,6,2,40.0,LMM-1,10.0,24.23457699282132,0.8208588756585905
1,1000,6,2,40.0,LMM-2,10.0,23.491981499952015,0.8362629152684781
1,1000,6,4,40.0,LMM-1,10.0,25.380614164170737,0.6305309830255355
1,1000,6,4,40.0,LMM-2,10.0,24.324997744129746,0.6635769983092162
1,1000,6,6,40.0,LMM-1,10.0,28.166115625905814,0.3903081310762828
1,1000,6,6,40.0,LMM-2,10.0,24.85155561095038,0.5203586584227545
1,1000,6,8,40.0,LMM-1,10.0,27.95418711347551,0.29725593236347
1,1000,6,8,40.0,LMM-2,10.0,25.334669573292825,0.3942540189122062
1,1000,8,2,40.0,LMM-1,10.0,23.802719230969842,0.8270794408010801
1,1000,8,2,40.0,LMM-2,10.0,23.358115984191837,0.8390250421300712
1,1000,8,4,40.0,LMM-1,10.0,24.73300805681438,0.6453121531944964
1,1000,8,4,40.0,LMM-2,10.0,23.458278410165487,0.692675495557778
1,1000,8,6,40.0,LMM-1,10.0,28.166115625905814,0.3903081310762828
1,1000,8,6,40.0,LMM-2,10.0,24.186556508457638,0.5466056369059235
1,1000,8,8,40.0,LMM-1,10.0,28.029701661326275,0.2837328136554423
1,1000,8,8,40.0,LMM-2,10.0,24.53005112104411,0.4307485866950566
1,1000,10,2,40.0,LMM-1,9.0,21.45710740801191,0.8449757404022957
1,1000,10,2,40.0,LMM-2,9.0,20.733113025969377,0.8601840386057162
1,1000,10,4,40.0,LMM-1,9.166666666666666,22.726173976698202,0.6684728179147625
1,1000,10,4,40.0,LMM-2,7.5,17.032891555124138,0.7830993266475591
1,1000,10,6,40.0,LMM-1,9.0,24.690701425390216,0.44925394629490706
1,1000,10,6,40.0,LMM-2,6.666666666666667,15.067787798972494,0.7184531666085258
1,1000,10,8,40.0,LMM-1,9.0,25.53029443349237,0.3133542094549153
1,1000,10,8,40.0,LMM-2,7.125,16.46659039058057,0.6016266544026251
