chunking_mode,num_publishers,num_users,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
with_chunking,4,2,LMM-1,1,12.0,0.0,30.836116268022323,0.0,0.768042288098905,0.0
with_chunking,4,2,LMM-2,1,12.0,0.0,30.836116268022323,0.0,0.768042288098905,0.0
without_chunking,4,2,LMM-1,1,12.0,0.0,30.836116268022323,0.0,0.768042288098905,0.0
without_chunking,4,2,LMM-2,1,12.0,0.0,30.836116268022323,0.0,0.768042288098905,0.0
