iteration,seed,num_publishers,num_users,arrival_window_used,chunking_mode,auth_mode,lmm,avg_hops,avg_delay,avg_success_rate
2,1201,8,6,20.0,with_chunking,with_auth,LMM-1,9.083333333333334,9.17916666666667,0.5863748995593685
2,1201,8,6,20.0,with_chunking,with_auth,LMM-2,8.819444444444445,6.7062500000000025,0.6542691497097168
2,1201,8,8,20.0,with_chunking,with_auth,LMM-1,9.083333333333332,9.17916666666667,0.5528487552519058
2,1201,8,8,20.0,with_chunking,with_auth,LMM-2,8.614583333333334,5.694270833333336,0.6761953273916057
2,1201,10,2,20.0,with_chunking,with_auth,LMM-1,7.375,7.556250000000004,0.832880424669199
2,1201,10,2,20.0,with_chunking,with_auth,LMM-2,7.25,7.4375000000000036,0.8372134216637572
2,1201,10,4,20.0,with_chunking,with_auth,LMM-1,7.625,7.793750000000004,0.765235550620516
2,1201,10,4,20.0,with_chunking,with_auth,LMM-2,7.458333333333334,7.63541666666667,0.7938569924325305
2,1201,10,6,20.0,with_chunking,with_auth,LMM-1,7.638888888888889,7.806944444444449,0.7314300137497289
2,1201,10,6,20.0,with_chunking,with_auth,LMM-2,7.5,5.481712962962964,0.7743292517364104
2,1201,10,8,20.0,with_chunking,with_auth,LMM-1,7.666666666666667,7.8333333333333375,0.6955093045581154
2,1201,10,8,20.0,with_chunking,with_auth,LMM-2,7.5,4.979687500000003,0.7751455535935304
3,1202,4,2,20.0,with_chunking,with_auth,LMM-1,11.875,11.831250000000008,0.6786512843751004
3,1202,4,2,20.0,with_chunking,with_auth,LMM-2,11.875,11.831250000000008,0.6786512843751004
3,1202,4,4,20.0,with_chunking,with_auth,LMM-1,11.875,11.831250000000004,0.6436304632995891
3,1202,4,4,20.0,with_chunking,with_auth,LMM-2,11.875,6.831250000000008,0.67881360310063
3,1202,4,6,20.0,with_chunking,with_auth,LMM-1,11.875,11.831250000000004,0.6121096862064713
3,1202,4,6,20.0,with_chunking,with_auth,LMM-2,11.875,7.620833333333339,0.6672729228876941
3,1202,4,8,20.0,with_chunking,with_auth,LMM-1,11.875,11.831250000000004,0.580842388258007
3,1202,4,8,20.0,with_chunking,with_auth,LMM-2,11.875,6.485937500000006,0.6676575702392354
3,1202,6,2,20.0,with_chunking,with_auth,LMM-1,9.75,9.812500000000007,0.7403970985105338
3,1202,6,2,20.0,with_chunking,with_auth,LMM-2,9.75,9.812500000000007,0.7403970985105338
3,1202,6,4,20.0,with_chunking,with_auth,LMM-1,9.75,9.812500000000004,0.7080492474875031
