Simulation Time,Subscribers,Total Requests,Hop Reduction Ratio,Cache Hit Ratio (%),Latency,Active Paths,Policy,Routers,Avg Battery,Avg Latency (ms),Avg Cache Used (%),Avg CPU Usage
2025-12-27 17:54:22,3,18,0.0,0.0,0.005109382778859946,0,FACR,6,0.000,0.260,0.0,0.592
2025-12-27 17:54:22,3,36,0.0,0.0,0.0023893594645094905,0,FACR,6,0.000,0.260,0.0,0.574
2025-12-27 17:54:22,3,54,0.0,0.0,0.00047130415047313734,0,FACR,6,0.000,0.260,0.0,0.609
2025-12-27 17:54:22,3,66,0.0,0.0,0.0011928110583014145,0,FACR,6,0.000,0.260,0.0,0.606
2025-12-27 17:54:22,3,84,0.0,0.0,0.0003763288364755056,0,FACR,6,0.000,0.260,0.0,0.638
2025-12-27 17:54:22,3,102,0.0,0.0,0.0006285859278406882,0,FACR,6,0.000,0.260,0.0,0.570
2025-12-27 17:54:22,3,120,0.0,0.0,0.00045150554223932906,0,FACR,6,0.000,0.260,0.0,0.539
2025-12-27 17:54:22,3,138,0.0,0.0,0.00048233887721731595,0,FACR,6,0.000,0.260,0.0,0.535
2025-12-27 17:54:22,3,150,0.0,0.0,0.0005249946329444429,0,FACR,6,0.000,0.260,0.0,0.473
2025-12-27 17:54:22,3,168,0.0,0.0,0.00011125739062226286,0,FACR,6,0.000,0.260,0.0,0.476
2025-12-27 17:54:22,3,180,0.0,0.0,0.0004225273904419951,0,FACR,6,0.000,0.260,0.0,0.469
2025-12-27 17:54:22,3,192,0.0,0.0,0.0003655130873024193,0,FACR,6,0.000,0.260,0.0,0.457
2025-12-27 17:54:22,3,210,0.0,0.0,0.0004612390014605145,0,FACR,6,0.000,0.260,0.0,0.414
2025-12-27 17:54:22,3,222,0.0,0.0,0.00027720498222417024,0,FACR,6,0.000,0.260,0.0,0.453
2025-12-27 17:54:22,3,234,0.0,0.0,0.00022914897533754937,0,FACR,6,0.000,0.260,0.0,0.429
2025-12-27 17:54:22,3,240,0.0,0.0,0.0003431887545526069,0,FACR,6,0.000,0.260,0.0,0.459
