Simulation Time,Subscribers,Total Requests,Hop Reduction Ratio,Cache Hit Ratio (%),Latency,Active Paths,Policy,Routers,Avg Battery,Avg Latency (ms),Avg Cache Used (%),Avg CPU Usage
2025-12-27 17:54:21,3,12,0.0,0.0,0.008114225469229058,0,LRU,6,0.970,0.260,0.0,0.328
2025-12-27 17:54:21,3,24,0.0,0.0,0.003770508278531277,0,LRU,6,0.940,0.260,0.0,0.309
2025-12-27 17:54:21,3,42,0.0,0.0,0.0006736300610468161,0,LRU,6,0.895,0.260,0.0,0.388
2025-12-27 17:54:21,3,60,0.0,0.0,0.0004959005839432071,0,LRU,6,0.850,0.260,0.0,0.435
2025-12-27 17:54:21,3,78,0.0,0.0,0.0007598110716600752,0,LRU,6,0.805,0.260,0.0,0.453
2025-12-27 17:54:21,3,96,0.0,0.0,0.00043162340134645467,0,LRU,6,0.760,0.260,0.0,0.418
2025-12-27 17:54:21,3,114,0.0,0.0,0.0006757979283554994,0,LRU,6,0.715,0.260,0.0,0.458
2025-12-27 17:54:21,3,132,0.0,0.0,0.00034344795917764056,0,LRU,6,0.670,0.260,0.0,0.481
2025-12-27 17:54:21,3,150,0.0,0.0,0.0005550062139888836,0,LRU,6,0.625,0.260,0.0,0.459
2025-12-27 17:54:21,3,168,0.0,0.0,0.0002809131078172629,0,LRU,6,0.580,0.260,0.0,0.518
2025-12-27 17:54:21,3,186,0.0,0.0,0.00011325957086331552,0,LRU,6,0.535,0.260,0.0,0.477
2025-12-27 17:54:21,3,204,0.0,0.0,0.00017984213424876785,0,LRU,6,0.490,0.260,0.0,0.490
2025-12-27 17:54:21,3,222,0.0,0.0,0.0002968156570992814,0,LRU,6,0.445,0.260,0.0,0.492
2025-12-27 17:54:21,3,240,0.0,0.0,0.0002446822628314817,0,LRU,6,0.400,0.260,0.0,0.603
2025-12-27 17:54:21,3,252,0.0,0.0,4.072874584155211e-05,0,LRU,6,0.370,0.260,0.0,0.629
