Simulation Time,Subscribers,Total Requests,Hop Reduction Ratio,Cache Hit Ratio (%),Latency,Active Paths,Policy,Routers,Avg Battery,Avg Latency (ms),Avg Cache Used (%),Avg CPU Usage
2025-12-27 17:54:21,3,12,0.0,0.0,0.007333674219841779,0,FIFO,6,0.000,0.260,0.0,0.353
2025-12-27 17:54:21,3,30,0.0,0.0,0.002180350113724077,0,FIFO,6,0.000,0.260,0.0,0.344
2025-12-27 17:54:21,3,48,0.0,0.0,0.0009268944588235929,0,FIFO,6,0.000,0.260,0.0,0.366
2025-12-27 17:54:21,3,66,0.0,0.0,0.0014917230272809825,0,FIFO,6,0.000,0.260,0.0,0.411
2025-12-27 17:54:21,3,78,0.0,0.0,0.00114401590648034,0,FIFO,6,0.000,0.260,0.0,0.413
2025-12-27 17:54:21,3,90,0.0,0.0,0.0002524428600460488,0,FIFO,6,0.000,0.260,0.0,0.342
2025-12-27 17:54:21,3,108,0.0,0.0,0.00046420268160765507,0,FIFO,6,0.000,0.260,0.0,0.340
2025-12-27 17:54:21,3,126,0.0,0.0,0.0001266182435026167,0,FIFO,6,0.000,0.260,0.0,0.290
2025-12-27 17:54:21,3,144,0.0,0.0,0.00067267673608444,0,FIFO,6,0.000,0.260,0.0,0.342
2025-12-27 17:54:21,3,162,0.0,0.0,0.000361200580442322,0,FIFO,6,0.000,0.260,0.0,0.421
2025-12-27 17:54:21,3,180,0.0,0.0,0.00021989124185306508,0,FIFO,6,0.000,0.260,0.0,0.485
2025-12-27 17:54:21,3,192,0.0,0.0,0.00013897901594691437,0,FIFO,6,0.000,0.260,0.0,0.536
2025-12-27 17:54:21,3,204,0.0,0.0,0.0003956686911001469,0,FIFO,6,0.000,0.260,0.0,0.544
2025-12-27 17:54:21,3,216,0.0,0.0,0.00016099178923392794,0,FIFO,6,0.000,0.260,0.0,0.549
2025-12-27 17:54:21,3,228,0.0,0.0,9.619909892703404e-05,0,FIFO,6,0.000,0.260,0.0,0.597
2025-12-27 17:54:21,3,246,0.0,0.0,0.000352498582586861,0,FIFO,6,0.000,0.260,0.0,0.581
2025-12-27 17:54:21,3,258,0.0,0.0,0.00038493237178996545,0,FIFO,6,0.000,0.260,0.0,0.679
2025-12-27 17:54:21,3,276,0.0,0.0,0.0001649752487794573,0,FIFO,6,0.000,0.260,0.0,0.687
2025-12-27 17:54:21,3,288,0.0,0.0,0.00034026460532510906,0,FIFO,6,0.000,0.260,0.0,0.652
2025-12-27 17:54:21,3,306,0.0,0.0,0.00016731944113536465,0,FIFO,6,0.000,0.260,0.0,0.732
2025-12-27 17:54:21,3,324,0.0,0.0,0.0002497488695768644,0,FIFO,6,0.000,0.260,0.0,0.728
2025-12-27 17:54:21,3,342,0.0,0.0,0.00019414972951857208,0,FIFO,6,0.000,0.260,0.0,0.626
2025-12-27 17:54:21,3,360,0.0,0.0,0.00011020645460078259,0,FIFO,6,0.000,0.260,0.0,0.588
2025-12-27 17:54:21,3,378,0.0,0.0,5.109583410206698e-05,0,FIFO,6,0.000,0.260,0.0,0.585
2025-12-27 17:54:21,3,396,0.0,0.0,0.000141599437602757,0,FIFO,6,0.000,0.260,0.0,0.499
2025-12-27 17:54:21,3,414,0.0,0.0,8.57729744549435e-05,0,FIFO,6,0.000,0.260,0.0,0.492
2025-12-27 17:54:21,3,432,0.0,0.0,9.88429617007356e-05,0,FIFO,6,0.000,0.260,0.0,0.471
2025-12-27 17:54:21,3,444,0.0,0.0,0.000178329967670803,0,FIFO,6,0.000,0.260,0.0,0.575
2025-12-27 17:54:21,3,462,0.0,0.0,0.00012989695298423984,0,FIFO,6,0.000,0.260,0.0,0.546
2025-12-27 17:54:21,3,474,0.0,0.0,0.00010518465029086021,0,FIFO,6,0.000,0.260,0.0,0.585
2025-12-27 17:54:21,3,492,0.0,0.0,3.61209490843449e-05,0,FIFO,6,0.000,0.260,0.0,0.622
2025-12-27 17:54:21,3,510,0.0,0.0,6.818814915103438e-05,0,FIFO,6,0.000,0.260,0.0,0.643
2025-12-27 17:54:21,3,528,0.0,0.0,2.100054417080125e-05,0,FIFO,6,0.000,0.260,0.0,0.583
2025-12-27 17:54:21,3,540,0.0,0.0,0.0001129076285764792,0,FIFO,6,0.000,0.260,0.0,0.582
2025-12-27 17:54:21,3,558,0.0,0.0,8.062204924690862e-05,0,FIFO,6,0.000,0.260,0.0,0.651
2025-12-27 17:54:21,3,570,0.0,0.0,0.000161830641000399,0,FIFO,6,0.000,0.260,0.0,0.659
2025-12-27 17:54:21,3,588,0.0,0.0,0.00016164668304103472,0,FIFO,6,0.000,0.260,0.0,0.684
2025-12-27 17:54:21,3,606,0.0,0.0,0.00016072749528327812,0,FIFO,6,0.000,0.260,0.0,0.723
2025-12-27 17:54:21,3,624,0.0,0.0,0.0001408411325247019,0,FIFO,6,0.000,0.260,0.0,0.704
2025-12-27 17:54:21,3,642,0.0,0.0,6.303399619368468e-05,0,FIFO,6,0.000,0.260,0.0,0.741
2025-12-27 17:54:21,3,660,0.0,0.0,5.471517276730961e-05,0,FIFO,6,0.000,0.260,0.0,0.762
2025-12-27 17:54:21,3,678,0.0,0.0,3.999088578724514e-05,0,FIFO,6,0.000,0.260,0.0,0.764
2025-12-27 17:54:21,3,696,0.0,0.0,5.411748551062092e-05,0,FIFO,6,0.000,0.260,0.0,0.718
2025-12-27 17:54:21,3,714,0.0,0.0,0.00013025613529831537,0,FIFO,6,0.000,0.260,0.0,0.707
2025-12-27 17:54:21,3,732,0.0,0.0,0.00010679319164543802,0,FIFO,6,0.000,0.260,0.0,0.700
2025-12-27 17:54:21,3,750,0.0,0.0,1.338030031432586e-05,0,FIFO,6,0.000,0.260,0.0,0.611
2025-12-27 17:54:21,3,768,0.0,0.0,4.438277370602767e-05,0,FIFO,6,0.000,0.260,0.0,0.566
2025-12-27 17:54:21,3,780,0.0,0.0,0.00012372493856900374,0,FIFO,6,0.000,0.260,0.0,0.521
2025-12-27 17:54:21,3,798,0.0,0.0,4.052935325929977e-05,0,FIFO,6,0.000,0.260,0.0,0.504
2025-12-27 17:54:21,3,810,0.0,0.0,8.335796131025855e-05,0,FIFO,6,0.000,0.260,0.0,0.584
2025-12-27 17:54:21,3,828,0.0,0.0,0.00011073788227403335,0,FIFO,6,0.000,0.260,0.0,0.586
2025-12-27 17:54:21,3,834,0.0,0.0,6.067300450574383e-05,0,FIFO,6,0.000,0.260,0.0,0.559
2025-12-27 17:54:21,3,852,0.0,0.0,0.00010762949160417018,0,FIFO,6,0.000,0.260,0.0,0.607
2025-12-27 17:54:21,3,864,0.0,0.0,6.624990774563786e-05,0,FIFO,6,0.000,0.260,0.0,0.586
2025-12-27 17:54:21,3,882,0.0,0.0,8.243719703086295e-05,0,FIFO,6,0.000,0.260,0.0,0.723
2025-12-27 17:54:21,3,900,0.0,0.0,4.014911276464183e-05,0,FIFO,6,0.000,0.260,0.0,0.706
2025-12-27 17:54:21,3,918,0.0,0.0,8.704931445386114e-05,0,FIFO,6,0.000,0.260,0.0,0.715
2025-12-27 17:54:21,3,936,0.0,0.0,8.792196028474488e-05,0,FIFO,6,0.000,0.260,0.0,0.773
2025-12-27 17:54:21,3,948,0.0,0.0,5.5072570974745746e-05,0,FIFO,6,0.000,0.260,0.0,0.818
2025-12-27 17:54:21,3,966,0.0,0.0,5.353324705192523e-05,0,FIFO,6,0.000,0.260,0.0,0.759
2025-12-27 17:54:21,3,978,0.0,0.0,1.040420631731815e-05,0,FIFO,6,0.000,0.260,0.0,0.779
2025-12-27 17:54:21,3,996,0.0,0.0,2.947503924911721e-05,0,FIFO,6,0.000,0.260,0.0,0.799
2025-12-27 17:54:21,3,1014,0.0,0.0,1.376680310997672e-05,0,FIFO,6,0.000,0.260,0.0,0.780
2025-12-27 17:54:21,3,1026,0.0,0.0,5.4567386215076794e-05,0,FIFO,6,0.000,0.260,0.0,0.784
2025-12-27 17:54:21,3,1044,0.0,0.0,7.477348606596334e-05,0,FIFO,6,0.000,0.260,0.0,0.747
2025-12-27 17:54:21,3,1062,0.0,0.0,6.0169926418933964e-05,0,FIFO,6,0.000,0.260,0.0,0.752
2025-12-27 17:54:21,3,1074,0.0,0.0,6.805833727339925e-05,0,FIFO,6,0.000,0.260,0.0,0.687
2025-12-27 17:54:21,3,1086,0.0,0.0,1.705673635401205e-05,0,FIFO,6,0.000,0.260,0.0,0.673
2025-12-27 17:54:21,3,1104,0.0,0.0,1.3884416186790542e-05,0,FIFO,6,0.000,0.260,0.0,0.767
2025-12-27 17:54:21,3,1122,0.0,0.0,8.484953070051481e-05,0,FIFO,6,0.000,0.260,0.0,0.726
2025-12-27 17:54:21,3,1134,0.0,0.0,2.450916402430456e-05,0,FIFO,6,0.000,0.260,0.0,0.677
2025-12-27 17:54:21,3,1152,0.0,0.0,4.691346663239127e-05,0,FIFO,6,0.000,0.260,0.0,0.642
2025-12-27 17:54:21,3,1164,0.0,0.0,4.711302778917554e-05,0,FIFO,6,0.000,0.260,0.0,0.679
2025-12-27 17:54:21,3,1182,0.0,0.0,6.591726859713397e-05,0,FIFO,6,0.000,0.260,0.0,0.650
2025-12-27 17:54:21,3,1200,0.0,0.0,6.900425586102267e-05,0,FIFO,6,0.000,0.260,0.0,0.644
2025-12-27 17:54:21,3,1218,0.0,0.0,2.0786312700776352e-05,0,FIFO,6,0.000,0.260,0.0,0.610
2025-12-27 17:54:21,3,1236,0.0,0.0,3.97154426383064e-05,0,FIFO,6,0.000,0.260,0.0,0.669
2025-12-27 17:54:21,3,1248,0.0,0.0,4.162588104262625e-05,0,FIFO,6,0.000,0.260,0.0,0.652
2025-12-27 17:54:21,3,1266,0.0,0.0,3.757555616264193e-05,0,FIFO,6,0.000,0.260,0.0,0.653
2025-12-27 17:54:21,3,1278,0.0,0.0,4.7363657059469164e-05,0,FIFO,6,0.000,0.260,0.0,0.598
2025-12-27 17:54:21,3,1296,0.0,0.0,2.346360140354595e-05,0,FIFO,6,0.000,0.260,0.0,0.618
2025-12-27 17:54:21,3,1308,0.0,0.0,1.2464518120350944e-05,0,FIFO,6,0.000,0.260,0.0,0.542
2025-12-27 17:54:21,3,1326,0.0,0.0,3.9420093905892365e-05,0,FIFO,6,0.000,0.260,0.0,0.564
2025-12-27 17:54:21,3,1338,0.0,0.0,4.4797786849614204e-05,0,FIFO,6,0.000,0.260,0.0,0.551
2025-12-27 17:54:21,3,1356,0.0,0.0,3.0426132317955187e-05,0,FIFO,6,0.000,0.260,0.0,0.591
2025-12-27 17:54:21,3,1368,0.0,0.0,6.054249952652606e-05,0,FIFO,6,0.000,0.260,0.0,0.550
2025-12-27 17:54:21,3,1380,0.0,0.0,4.54786839121115e-05,0,FIFO,6,0.000,0.260,0.0,0.479
2025-12-27 17:54:21,3,1392,0.0,0.0,3.882045124993051e-05,0,FIFO,6,0.000,0.260,0.0,0.505
2025-12-27 17:54:21,3,1404,0.0,0.0,2.783984425696154e-05,0,FIFO,6,0.000,0.260,0.0,0.547
2025-12-27 17:54:21,3,1422,0.0,0.0,5.996030151861354e-05,0,FIFO,6,0.000,0.260,0.0,0.553
2025-12-27 17:54:21,3,1434,0.0,0.0,8.171357275196253e-06,0,FIFO,6,0.000,0.260,0.0,0.559
2025-12-27 17:54:21,3,1452,0.0,0.0,7.1884117222723215e-06,0,FIFO,6,0.000,0.260,0.0,0.544
2025-12-27 17:54:21,3,1470,0.0,0.0,6.00034326042837e-05,0,FIFO,6,0.000,0.260,0.0,0.570
2025-12-27 17:54:21,3,1488,0.0,0.0,4.597501484535119e-05,0,FIFO,6,0.000,0.260,0.0,0.538
2025-12-27 17:54:21,3,1500,0.0,0.0,5.3679263438425255e-05,0,FIFO,6,0.000,0.260,0.0,0.604
2025-12-27 17:54:21,3,1518,0.0,0.0,2.116489715583104e-05,0,FIFO,6,0.000,0.260,0.0,0.588
2025-12-27 17:54:21,3,1530,0.0,0.0,3.623771740514947e-05,0,FIFO,6,0.000,0.260,0.0,0.651
2025-12-27 17:54:21,3,1542,0.0,0.0,1.3727352534201878e-05,0,FIFO,6,0.000,0.260,0.0,0.665
2025-12-27 17:54:21,3,1554,0.0,0.0,1.5185631755943546e-05,0,FIFO,6,0.000,0.260,0.0,0.669
2025-12-27 17:54:21,3,1572,0.0,0.0,3.60178843814537e-05,0,FIFO,6,0.000,0.260,0.0,0.690
