chunking_mode,auth_mode,num_publishers,num_users,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
with_chunking,with_auth,4,2,LMM-1,3,11.041666666666666,0.6640573937712178,11.03958333333334,0.6308545240826581,0.7017054110164928,0.017314432484423065
with_chunking,with_auth,4,2,LMM-2,3,11.041666666666666,0.6640573937712178,11.03958333333334,0.6308545240826581,0.7017054110164928,0.017314432484423065
with_chunking,with_auth,4,4,LMM-1,3,11.041666666666666,0.6640573937712178,11.039583333333338,0.6308545240826566,0.6641585450833041,0.016661231850993267
with_chunking,with_auth,4,4,LMM-2,3,11.041666666666666,0.6640573937712178,6.03958333333334,0.6308545240826574,0.7017595172583361,0.01724240942923497
with_chunking,with_auth,4,6,LMM-1,3,11.041666666666666,0.6640573937712178,11.039583333333338,0.6308545240826566,0.6249824814481166,0.01041260519939193
with_chunking,with_auth,4,6,LMM-2,3,11.041666666666666,0.6640573937712178,8.154629629629634,0.47652766758061516,0.673441439579781,0.009160291160159541
with_chunking,with_auth,4,8,LMM-1,3,11.041666666666666,0.6640573937712178,11.039583333333338,0.6308545240826566,0.5937820524567896,0.01176468680757635
with_chunking,with_auth,4,8,LMM-2,3,11.041666666666666,0.6640573937712178,6.7578125000000036,0.3486651442465963,0.6742706926805156,0.009260607724271269
with_chunking,with_auth,6,2,LMM-1,3,9.722222222222223,0.4427049291808114,9.786111111111117,0.42056968272177214,0.7280071486826011,0.014794354151562054
with_chunking,with_auth,6,2,LMM-2,3,9.722222222222223,0.4427049291808114,9.786111111111117,0.42056968272177214,0.7279995861456952,0.014804984399948873
with_chunking,with_auth,6,4,LMM-1,3,9.722222222222223,0.4427049291808114,9.786111111111115,0.42056968272177203,0.6978168615228427,0.01261519548283749
with_chunking,with_auth,6,4,LMM-2,3,9.743055555555555,0.4167823913367678,6.663541666666672,0.9161966124358287,0.7140154668577101,0.025859266700492607
with_chunking,with_auth,6,6,LMM-1,3,9.722222222222221,0.4427049291808121,9.786111111111117,0.4205696827217713,0.6613023930593024,0.009538958294028673
with_chunking,with_auth,6,6,LMM-2,3,9.611111111111112,0.5866308911650796,7.159953703703707,0.6402376898888291,0.7054146613811613,0.010634721242857385
with_chunking,with_auth,6,8,LMM-1,3,9.722222222222223,0.4427049291808114,9.786111111111117,0.4205696827217713,0.6364624301929166,0.007605753631494772
with_chunking,with_auth,6,8,LMM-2,3,9.63888888888889,0.5499719409228698,6.398090277777783,0.22710417101981697,0.7036731430686659,0.012218489173869971
with_chunking,with_auth,8,2,LMM-1,3,8.402777777777777,0.47181354865175046,8.532638888888892,0.44822287121916393,0.755754665192684,0.024973965382192147
with_chunking,with_auth,8,2,LMM-2,3,8.194444444444445,0.4101339738953719,8.334722222222226,0.389627275200604,0.764880499837679,0.018081359136854238
with_chunking,with_auth,8,4,LMM-1,3,8.729166666666666,0.5162296538901612,8.842708333333336,0.49041817119565306,0.677745931331572,0.025616468843892907
with_chunking,with_auth,8,4,LMM-2,3,8.3125,0.4252586358998574,6.184375000000004,0.5220991562291449,0.7214617220530775,0.017344582044354035
with_chunking,with_auth,8,6,LMM-1,3,8.800925925925926,0.5532746386639747,8.910879629629633,0.5256109067307765,0.6208307567993493,0.025763052392589112
with_chunking,with_auth,8,6,LMM-2,3,8.458333333333334,0.5909990147123314,6.3709104938271635,0.5591133932769686,0.6750386283192581,0.014751705475624257
with_chunking,with_auth,8,8,LMM-1,3,8.791666666666666,0.5662171419622082,8.902083333333337,0.5379062848640985,0.5918653811587072,0.03133277320019118
with_chunking,with_auth,8,8,LMM-2,3,8.402777777777777,0.4871269148516016,5.5461805555555586,0.2333985575587914,0.6792655765601737,0.004845291233375978
with_chunking,with_auth,10,2,LMM-1,3,7.326388888888888,0.04280843057617356,7.510069444444448,0.040668009047365006,0.7757913119740407,0.043481106442042866
with_chunking,with_auth,10,2,LMM-2,3,6.972222222222221,0.19934305686676856,7.173611111111114,0.18937590402343002,0.7998521941029426,0.027791697665381178
with_chunking,with_auth,10,4,LMM-1,3,7.513888888888889,0.07856742013183854,7.6881944444444485,0.07463904912524663,0.7145767944668187,0.0370813912820621
with_chunking,with_auth,10,4,LMM-2,3,7.1319444444444455,0.26370607702843807,6.668055555555559,0.6993183133559863,0.7521752357620964,0.030292087181361747
with_chunking,with_auth,10,6,LMM-1,3,7.56712962962963,0.07822567244775809,7.7387731481481525,0.07431438882537007,0.6754088312328254,0.042893231572197946
with_chunking,with_auth,10,6,LMM-2,3,7.217592592592593,0.20359845766014867,5.430941358024693,0.17607047478320315,0.7460126875193618,0.020840384364332106
with_chunking,with_auth,10,8,LMM-1,3,7.5,0.12266334536566471,7.675000000000004,0.11653017809738153,0.642736111303662,0.040024511088092296
with_chunking,with_auth,10,8,LMM-2,3,7.201388888888888,0.21132116742642987,4.6574652777777805,0.2413245652933895,0.7503368347915952,0.0175619638123908
with_chunking,without_auth,4,2,LMM-1,3,11.041666666666666,0.6640573937712178,11.03958333333334,0.6308545240826581,0.7017054110164928,0.017314432484423065
with_chunking,without_auth,4,2,LMM-2,3,11.041666666666666,0.6640573937712178,11.03958333333334,0.6308545240826581,0.7017054110164928,0.017314432484423065
with_chunking,without_auth,4,4,LMM-1,3,11.041666666666666,0.6640573937712178,11.039583333333338,0.6308545240826566,0.6641585450833041,0.016661231850993267
with_chunking,without_auth,4,4,LMM-2,3,11.041666666666666,0.6640573937712178,6.03958333333334,0.6308545240826574,0.7017595172583361,0.01724240942923497
with_chunking,without_auth,4,6,LMM-1,3,11.041666666666666,0.6640573937712178,11.039583333333338,0.6308545240826566,0.6249824814481166,0.01041260519939193
with_chunking,without_auth,4,6,LMM-2,3,11.041666666666666,0.6640573937712178,8.154629629629634,0.47652766758061516,0.673441439579781,0.009160291160159541
with_chunking,without_auth,4,8,LMM-1,3,11.041666666666666,0.6640573937712178,11.039583333333338,0.6308545240826566,0.5937820524567896,0.01176468680757635
with_chunking,without_auth,4,8,LMM-2,3,11.041666666666666,0.6640573937712178,6.7578125000000036,0.3486651442465963,0.6742706926805156,0.009260607724271269
with_chunking,without_auth,6,2,LMM-1,3,9.722222222222223,0.4427049291808114,9.786111111111117,0.42056968272177214,0.7280071486826011,0.014794354151562054
with_chunking,without_auth,6,2,LMM-2,3,9.722222222222223,0.4427049291808114,9.786111111111117,0.42056968272177214,0.7279995861456952,0.014804984399948873
with_chunking,without_auth,6,4,LMM-1,3,9.722222222222223,0.4427049291808114,9.786111111111115,0.42056968272177203,0.6978168615228427,0.01261519548283749
with_chunking,without_auth,6,4,LMM-2,3,9.743055555555555,0.4167823913367678,6.663541666666672,0.9161966124358287,0.7140154668577101,0.025859266700492607
with_chunking,without_auth,6,6,LMM-1,3,9.722222222222221,0.4427049291808121,9.786111111111117,0.4205696827217713,0.6613023930593024,0.009538958294028673
with_chunking,without_auth,6,6,LMM-2,3,9.611111111111112,0.5866308911650796,7.159953703703707,0.6402376898888291,0.7054146613811613,0.010634721242857385
with_chunking,without_auth,6,8,LMM-1,3,9.722222222222223,0.4427049291808114,9.786111111111117,0.4205696827217713,0.6364624301929166,0.007605753631494772
with_chunking,without_auth,6,8,LMM-2,3,9.63888888888889,0.5499719409228698,6.398090277777783,0.22710417101981697,0.7036731430686659,0.012218489173869971
with_chunking,without_auth,8,2,LMM-1,3,8.402777777777777,0.47181354865175046,8.532638888888892,0.44822287121916393,0.755754665192684,0.024973965382192147
with_chunking,without_auth,8,2,LMM-2,3,8.194444444444445,0.4101339738953719,8.334722222222226,0.389627275200604,0.764880499837679,0.018081359136854238
with_chunking,without_auth,8,4,LMM-1,3,8.729166666666666,0.5162296538901612,8.842708333333336,0.49041817119565306,0.677745931331572,0.025616468843892907
with_chunking,without_auth,8,4,LMM-2,3,8.3125,0.4252586358998574,6.184375000000004,0.5220991562291449,0.7214617220530775,0.017344582044354035
with_chunking,without_auth,8,6,LMM-1,3,8.800925925925926,0.5532746386639747,8.910879629629633,0.5256109067307765,0.6208307567993493,0.025763052392589112
with_chunking,without_auth,8,6,LMM-2,3,8.458333333333334,0.5909990147123314,6.3709104938271635,0.5591133932769686,0.6750386283192581,0.014751705475624257
with_chunking,without_auth,8,8,LMM-1,3,8.791666666666666,0.5662171419622082,8.902083333333337,0.5379062848640985,0.5918653811587072,0.03133277320019118
with_chunking,without_auth,8,8,LMM-2,3,8.402777777777777,0.4871269148516016,5.5461805555555586,0.2333985575587914,0.6792655765601737,0.004845291233375978
with_chunking,without_auth,10,2,LMM-1,3,7.326388888888888,0.04280843057617356,7.510069444444448,0.040668009047365006,0.7757913119740407,0.043481106442042866
with_chunking,without_auth,10,2,LMM-2,3,6.972222222222221,0.19934305686676856,7.173611111111114,0.18937590402343002,0.7998521941029426,0.027791697665381178
with_chunking,without_auth,10,4,LMM-1,3,7.513888888888889,0.07856742013183854,7.6881944444444485,0.07463904912524663,0.7145767944668187,0.0370813912820621
with_chunking,without_auth,10,4,LMM-2,3,7.1319444444444455,0.26370607702843807,6.668055555555559,0.6993183133559863,0.7521752357620964,0.030292087181361747
with_chunking,without_auth,10,6,LMM-1,3,7.56712962962963,0.07822567244775809,7.7387731481481525,0.07431438882537007,0.6754088312328254,0.042893231572197946
with_chunking,without_auth,10,6,LMM-2,3,7.217592592592593,0.20359845766014867,5.430941358024693,0.17607047478320315,0.7460126875193618,0.020840384364332106
with_chunking,without_auth,10,8,LMM-1,3,7.5,0.12266334536566471,7.675000000000004,0.11653017809738153,0.642736111303662,0.040024511088092296
with_chunking,without_auth,10,8,LMM-2,3,7.201388888888888,0.21132116742642987,4.6574652777777805,0.2413245652933895,0.7503368347915952,0.0175619638123908
without_chunking,with_auth,4,2,LMM-1,3,11.833333333333334,1.247219128924647,11.791666666666673,1.184858172478416,0.7800001248436789,0.020111186267379566
without_chunking,with_auth,4,2,LMM-2,3,11.833333333333334,1.247219128924647,11.791666666666673,1.184858172478416,0.7800001248436789,0.020111186267379566
without_chunking,with_auth,4,4,LMM-1,3,11.833333333333334,1.247219128924647,11.791666666666671,1.1848581724784155,0.7509912923022783,0.019932075422130026
without_chunking,with_auth,4,4,LMM-2,3,11.833333333333334,1.247219128924647,6.791666666666675,1.1848581724784168,0.7800288213005439,0.020070715705140692
without_chunking,with_auth,4,6,LMM-1,3,11.75,1.3385315336840842,11.712500000000006,1.2716049569998809,0.732720910387641,0.02862837395742105
without_chunking,with_auth,4,6,LMM-2,3,11.833333333333334,1.247219128924647,8.82870370370371,0.3944661791960022,0.7583529628615087,0.011773231792603216
without_chunking,with_auth,4,8,LMM-1,3,11.75,1.3385315336840842,11.712500000000006,1.2716049569998802,0.7083423844204977,0.030826628662859037
without_chunking,with_auth,4,8,LMM-2,3,11.833333333333334,1.247219128924647,7.416666666666671,0.4538416268063384,0.7590079389293439,0.011973223419291655
without_chunking,with_auth,6,2,LMM-1,3,9.083333333333334,0.42491829279939874,9.179166666666672,0.40367237815943,0.8371304171717964,0.009521442637735867
without_chunking,with_auth,6,2,LMM-2,3,9.083333333333334,0.42491829279939874,9.179166666666672,0.40367237815943,0.8371304171717964,0.009521442637735867
without_chunking,with_auth,6,4,LMM-1,3,9.083333333333334,0.42491829279939874,9.17916666666667,0.4036723781594292,0.8141391030744494,0.013479731487541368
without_chunking,with_auth,6,4,LMM-2,3,9.083333333333334,0.42491829279939874,7.929166666666672,0.6426129386254902,0.8206978617142252,0.007307864078288408
without_chunking,with_auth,6,6,LMM-1,3,9.333333333333334,0.7168604389202189,9.416666666666671,0.6810174169742078,0.796327903667613,0.010845823512868445
without_chunking,with_auth,6,6,LMM-2,3,9.083333333333334,0.42491829279939874,6.956944444444448,0.4036723781594292,0.8155018613446705,0.013319868840393635
without_chunking,with_auth,6,8,LMM-1,3,9.333333333333334,0.7168604389202189,9.416666666666671,0.6810174169742085,0.7770464191018182,0.010925423163150521
without_chunking,with_auth,6,8,LMM-2,3,9.083333333333334,0.42491829279939874,6.366666666666672,0.17360555546666367,0.8148246696103573,0.012946034358316148
without_chunking,with_auth,8,2,LMM-1,3,8.416666666666666,0.7168604389202189,8.545833333333338,0.6810174169742088,0.863131116556557,0.008275697823547824
without_chunking,with_auth,8,2,LMM-2,3,7.666666666666667,0.6236095644623235,7.787500000000004,0.6080193253507655,0.8781220872357612,0.016124459973899146
without_chunking,with_auth,8,4,LMM-1,3,8.416666666666666,0.7168604389202189,8.545833333333336,0.6810174169742078,0.8406478428118107,0.013843672131835004
without_chunking,with_auth,8,4,LMM-2,3,7.625,0.6208193510729725,6.497916666666671,0.6690776715416189,0.8686352366714729,0.021192919365203896
without_chunking,with_auth,8,6,LMM-1,3,8.416666666666666,0.7168604389202189,8.545833333333336,0.6810174169742078,0.8187636869545186,0.02038469582078514
without_chunking,with_auth,8,6,LMM-2,3,7.527777777777779,0.7275444918727108,5.8037037037037065,0.45691043627433786,0.8627659476122737,0.028566312857673568
without_chunking,with_auth,8,8,LMM-1,3,8.416666666666666,0.7168604389202189,8.545833333333338,0.6810174169742088,0.8043378891213427,0.03326309976741057
without_chunking,with_auth,8,8,LMM-2,3,7.5,0.7359800721939872,5.025000000000003,0.35750874115187653,0.8629902341088537,0.02884873909512041
without_chunking,with_auth,10,2,LMM-1,3,7.666666666666667,0.8498365855987975,7.833333333333338,0.807344756318858,0.8785803270282356,0.010434544006278502
without_chunking,with_auth,10,2,LMM-2,3,6.583333333333333,1.0069204977995476,6.80416666666667,0.9565744729095702,0.9062053560855845,0.02035878241317232
without_chunking,with_auth,10,4,LMM-1,3,7.666666666666667,0.8498365855987975,7.833333333333337,0.8073447563188578,0.8543081512083722,0.012477137595038929
without_chunking,with_auth,10,4,LMM-2,3,6.375,0.9736101204623269,6.606250000000003,0.9249296144392108,0.9019311351766541,0.024899051299961474
without_chunking,with_auth,10,6,LMM-1,3,7.75,0.8897565210026093,7.912500000000004,0.8452686949524791,0.8386579949651832,0.01090150819836456
without_chunking,with_auth,10,6,LMM-2,3,6.416666666666667,0.757676760943659,5.349537037037039,0.5417370957695117,0.8977479183663926,0.01920400154369751
without_chunking,with_auth,10,8,LMM-1,3,7.75,0.8897565210026093,7.912500000000004,0.8452686949524788,0.8190952061015538,0.012662009091434114
without_chunking,with_auth,10,8,LMM-2,3,6.583333333333333,0.7523112535528245,4.512500000000004,0.5632171354519204,0.8974152792707049,0.019683231208583465
without_chunking,without_auth,4,2,LMM-1,3,11.833333333333334,1.247219128924647,11.791666666666673,1.184858172478416,0.7800001248436789,0.020111186267379566
without_chunking,without_auth,4,2,LMM-2,3,11.833333333333334,1.247219128924647,11.791666666666673,1.184858172478416,0.7800001248436789,0.020111186267379566
without_chunking,without_auth,4,4,LMM-1,3,11.833333333333334,1.247219128924647,11.791666666666671,1.1848581724784155,0.7509912923022783,0.019932075422130026
without_chunking,without_auth,4,4,LMM-2,3,11.833333333333334,1.247219128924647,6.791666666666675,1.1848581724784168,0.7800288213005439,0.020070715705140692
without_chunking,without_auth,4,6,LMM-1,3,11.75,1.3385315336840842,11.712500000000006,1.2716049569998809,0.732720910387641,0.02862837395742105
without_chunking,without_auth,4,6,LMM-2,3,11.833333333333334,1.247219128924647,8.82870370370371,0.3944661791960022,0.7583529628615087,0.011773231792603216
without_chunking,without_auth,4,8,LMM-1,3,11.75,1.3385315336840842,11.712500000000006,1.2716049569998802,0.7083423844204977,0.030826628662859037
without_chunking,without_auth,4,8,LMM-2,3,11.833333333333334,1.247219128924647,7.416666666666671,0.4538416268063384,0.7590079389293439,0.011973223419291655
without_chunking,without_auth,6,2,LMM-1,3,9.083333333333334,0.42491829279939874,9.179166666666672,0.40367237815943,0.8371304171717964,0.009521442637735867
without_chunking,without_auth,6,2,LMM-2,3,9.083333333333334,0.42491829279939874,9.179166666666672,0.40367237815943,0.8371304171717964,0.009521442637735867
