Policy,Iteration,Cache Hit Ratio,Latency,Hop Reduction
LRU,1,0.0,0.01833565240544639,0.6
LRU,2,0.0,0.004648547371551958,0.6
LRU,3,0.0,0.0031726381522083577,0.5
LRU,4,0.0,0.010459118368364285,0.5
LRU,5,0.0,0.007474978414965157,0.5
LRU,6,0.0,0.0013397849841878231,0.5
LRU,7,0.0,0.005162384884266438,0.5
LRU,8,0.0,0.0020704349417556304,0.5
LRU,9,0.0,0.0008401936724790923,0.5
LRU,10,0.0,0.003773678059817804,0.5
LRU,11,0.0,0.0018163045650376236,0.5
LRU,12,0.0,0.0009071043720113499,0.5
LRU,13,0.0,0.002373792301587201,0.5333333333333333
LRU,14,0.0,0.0007524625243691325,0.5333333333333333
LRU,15,0.0,0.0023641602943841136,0.5333333333333333
LRU,16,0.0,0.002171329226246784,0.5333333333333333
LRU,17,0.0,0.0006793286600496704,0.5333333333333333
LRU,18,0.0,0.0011506303018636024,0.5333333333333333
LRU,19,0.0,0.001063099242586753,0.5333333333333333
LRU,20,0.0,0.0020209693328674147,0.5333333333333333
LRU,21,2.0,0.000697604628589814,0.5333333333333333
LRU,22,1.9230769230769231,0.0013736745896734495,0.5333333333333333
LRU,23,1.8518518518518516,0.0002901711092214639,0.5333333333333333
LRU,24,1.7543859649122806,0.001345749207188075,0.5333333333333333
LRU,25,1.6666666666666667,0.0002013758817912071,0.5333333333333333
LRU,26,1.6129032258064515,0.0010801263372906382,0.5333333333333333
LRU,27,1.5384615384615385,0.0006329369699479145,0.5333333333333333
LRU,28,1.4925373134328357,0.0005505563169450346,0.5333333333333333
LRU,29,1.4492753623188406,0.00039633782582809647,0.5333333333333333
LRU,30,1.3888888888888888,0.0012321512012746902,0.5333333333333333
LRU,31,1.3513513513513513,0.001267943576532286,0.5333333333333333
LRU,32,1.2987012987012987,0.0008878780625066446,0.5333333333333333
LRU,33,1.2658227848101267,0.0006782071366372193,0.5333333333333333
LRU,34,2.4691358024691357,0.00012732144377927647,0.5333333333333333
LRU,35,2.4096385542168677,0.0007210652585113506,0.5333333333333333
LRU,36,2.3255813953488373,0.00038909424574000727,0.5333333333333333
LRU,37,3.4090909090909087,0.0007909312679045192,0.5333333333333333
LRU,38,3.3333333333333335,0.0005833831113129882,0.5333333333333333
LRU,39,3.260869565217391,0.00028235140980615073,0.5333333333333333
LRU,40,3.1578947368421053,0.0004356887918342061,0.5333333333333333
LRU,41,3.061224489795918,0.0004153670712393133,0.5333333333333333
LRU,42,4.0,0.0007007022953962292,0.5333333333333333
LRU,43,3.9215686274509802,0.0009578141673729976,0.5333333333333333
LRU,44,4.807692307692308,0.0006952798674090889,0.5333333333333333
LRU,45,5.660377358490567,0.0006332257233280456,0.5333333333333333
LRU,46,5.5045871559633035,0.0002791070752186212,0.5333333333333333
LRU,47,5.405405405405405,0.0008963912523304955,0.5333333333333333
LRU,48,5.3097345132743365,0.0007603010146984438,0.5333333333333333
LRU,49,5.172413793103448,0.0006651702467290504,0.5333333333333333
LRU,50,5.084745762711865,0.00035733146320532426,0.5333333333333333
LRU,51,5.0,0.00036954620262191697,0.5333333333333333
LRU,52,4.878048780487805,0.00013414578771983932,0.5333333333333333
LRU,53,4.761904761904762,0.0002785600084667147,0.5333333333333333
LRU,54,4.6875,0.0005064498011286648,0.5333333333333333
LRU,55,4.615384615384616,0.0005245177737144629,0.5333333333333333
LRU,56,4.545454545454546,0.00023502019748876374,0.5333333333333333
LRU,57,4.444444444444445,0.0005309499896686537,0.5333333333333333
LRU,58,4.3478260869565215,0.0006462554774958114,0.5333333333333333
LRU,59,4.964539007092199,0.00012604043944576323,0.5333333333333333
LRU,60,4.895104895104895,0.00011267082274360094,0.5333333333333333
LRU,61,4.794520547945205,0.00042732772115424225,0.5333333333333333
LRU,62,4.72972972972973,0.000635318895414628,0.5333333333333333
LRU,63,4.666666666666667,0.00014041165045691772,0.5333333333333333
LRU,64,4.57516339869281,0.00023413264311324567,0.5333333333333333
LRU,65,5.128205128205128,0.0005525135240351444,0.5333333333333333
LRU,66,5.063291139240507,0.000459774586771564,0.5333333333333333
LRU,67,5.625,0.0001829706322142109,0.5333333333333333
LRU,68,5.521472392638037,0.0004083851052664618,0.5333333333333333
LRU,69,5.454545454545454,0.00043516056621402855,0.5333333333333333
LRU,70,5.357142857142857,0.0005762096838129902,0.5333333333333333
LRU,71,5.294117647058823,0.0005428227626039929,0.5333333333333333
LRU,72,5.232558139534884,0.00026907387926466264,0.5333333333333333
LRU,73,5.172413793103448,0.00023739042409139268,0.5333333333333333
LRU,74,5.113636363636364,0.0004662544098092715,0.5333333333333333
LRU,75,5.027932960893855,8.991643175877344e-05,0.5333333333333333
LRU,76,4.945054945054945,0.0003186864929967908,0.5333333333333333
LRU,77,4.864864864864865,0.0003773716653927088,0.5333333333333333
LRU,78,4.787234042553192,0.0004900043634387453,0.5333333333333333
LRU,79,4.712041884816754,0.0003252478483091868,0.5333333333333333
LRU,80,4.639175257731959,0.0002821965481005282,0.5333333333333333
LRU,81,4.591836734693878,0.0001780547569028893,0.5333333333333333
LRU,82,4.545454545454546,0.00016330708807774674,0.5333333333333333
LRU,83,4.5,7.596802454235806e-05,0.5333333333333333
LRU,84,4.433497536945813,0.0004238833268308256,0.5333333333333333
LRU,85,4.368932038834951,0.00017032724330563536,0.5333333333333333
LRU,86,4.30622009569378,0.00022834170751391192,0.5333333333333333
LRU,87,4.245283018867925,9.382532927458246e-05,0.5333333333333333
LRU,88,4.186046511627907,0.0003217503197605908,0.5333333333333333
LRU,89,4.147465437788019,5.560056388758023e-05,0.5333333333333333
LRU,90,4.10958904109589,0.0003043346507686446,0.5333333333333333
LRU,91,4.072398190045249,0.0003611121487945648,0.5333333333333333
LRU,92,4.484304932735426,0.00023918717161975522,0.5333333333333333
LRU,93,4.424778761061947,0.00010388504449147554,0.5333333333333333
LRU,94,4.385964912280701,0.00020268907321075927,0.5333333333333333
LRU,95,4.761904761904762,0.00040183515885182315,0.5333333333333333
LRU,96,4.721030042918455,4.296132154489848e-05,0.5333333333333333
LRU,97,5.084745762711865,0.0001979143973022902,0.5333333333333333
LRU,98,5.439330543933055,0.00017792662337575712,0.5333333333333333
LRU,99,5.394190871369295,0.0003190410089058595,0.5333333333333333
LRU,100,5.349794238683128,0.00015343687007032255,0.5333333333333333
LRU,101,5.3061224489795915,0.0003415234771750325,0.5333333333333333
LRU,102,5.241935483870968,0.00012693562838709605,0.5333333333333333
LRU,103,5.179282868525896,0.00020554990981415408,0.5333333333333333
LRU,104,5.138339920948617,0.00023105040659120353,0.5333333333333333
LRU,105,5.098039215686274,8.566889321201913e-05,0.5333333333333333
LRU,106,5.058365758754864,7.458317069892619e-05,0.5333333333333333
LRU,107,5.019305019305019,0.00011547923460521002,0.5333333333333333
LRU,108,4.980842911877394,0.00019855406015331436,0.5333333333333333
