iteration,num_users,lmm,samples,avg_hops,avg_hops_std,avg_delay,avg_delay_std,avg_success_rate,avg_success_rate_std
1,2,LMM-1,4,12.5,0.9354143466934853,29.90942154314501,2.3636195139686373,0.7930239762713658,0.02111486427993593
1,2,LMM-2,4,12.5,0.9354143466934853,29.90942154314501,2.3636195139686373,0.7930239762713658,0.02111486427993593
1,4,LMM-1,4,12.375,0.8926785535678563,31.294249618125384,3.2279002113213235,0.5775892320373853,0.04592252929699342
1,4,LMM-2,4,12.375,0.8926785535678563,20.514406376136552,3.1120686780653615,0.6067162461872955,0.04484811376333267
1,6,LMM-1,4,10.916666666666666,1.2499999999999998,28.773232511023096,4.085552802814719,0.3610461546041886,0.2231792356919547
1,6,LMM-2,4,11.166666666666666,1.6201851746019649,26.45287029029717,4.496701695564767,0.3726721492767257,0.23021656428599602
1,8,LMM-1,4,11.875,0.739509972887452,32.343608939979994,2.3525141941394385,0.21672143718935521,0.1310456873535665
1,8,LMM-2,4,11.25,1.25,25.694811023027516,4.257321212162138,0.28554377649353213,0.18097075156263695
2,2,LMM-1,4,8.25,1.6007810593582121,20.167518782129694,4.643357965550362,0.8539581948393455,0.040846404392492985
2,2,LMM-2,4,8.125,1.7809758560968758,19.845252495205933,5.092771713787815,0.8564580819888509,0.04425003735575022
2,4,LMM-1,4,8.875,0.739509972887452,22.622063342572986,2.79917903835581,0.6795219442607249,0.04677523361461505
2,4,LMM-2,4,8.875,0.739509972887452,17.196990343603815,1.1956086666031862,0.6932980361210305,0.04182324320975406
2,6,LMM-1,4,8.166666666666668,1.522972240208089,21.18760174899842,4.842397366141626,0.5774575838883569,0.09416581153057813
2,6,LMM-2,4,7.916666666666667,1.7057907908715602,17.84563456176571,5.175344255626691,0.6091412974117209,0.10033322640139158
2,8,LMM-1,4,8.1875,0.5191639914323797,22.503778799186943,3.355832631849472,0.3514014335726867,0.2078146967271213
2,8,LMM-2,4,8.34375,0.40864677595693816,18.371820173001954,3.0472716752160576,0.377334132172733,0.222322646548138
3,2,LMM-1,4,13.625,2.6309456474811483,34.63214071856582,7.593131963502421,0.7487959118817173,0.0554088703936567
3,2,LMM-2,4,13.625,2.6309456474811483,34.63214071856582,7.593131963502421,0.7487959118817173,0.0554088703936567
3,4,LMM-1,4,14.25,3.031088913245535,38.54886182786844,9.31684147079336,0.49043955469030903,0.10659584916498477
3,4,LMM-2,4,14.25,3.031088913245535,28.719889313495784,7.219899348909912,0.5208149896970248,0.09911631527775482
3,6,LMM-1,4,13.625,2.6309456474811483,38.441427982536,9.081088695820657,0.32283096560004343,0.10801728134718126
3,6,LMM-2,4,13.625,2.6309456474811483,34.629448882650244,8.476081383506635,0.3603529703510089,0.10476062695079257
3,8,LMM-1,4,13.78125,2.6610251196672308,41.20985928871945,9.853390511142159,0.18261213902534468,0.09879285549724887
3,8,LMM-2,4,13.78125,2.6610251196672308,34.963287779860046,9.017446219933772,0.23456506442355657,0.10206198497541735
4,2,LMM-1,4,10.0,2.9368350311176825,26.102733004446463,2.923841927619786,0.608322468310397,0.35152693050882683
4,2,LMM-2,4,10.0,2.9368350311176825,26.103541780949023,2.923959016788298,0.6082770290445394,0.3514990385261427
4,4,LMM-1,4,10.875,0.21650635094610965,26.76692403995649,0.7670548281690384,0.6345272776550221,0.022301698904004626
4,4,LMM-2,4,10.875,0.21650635094610965,15.955525185756564,0.6968157041281638,0.6644753300560062,0.020773685543050608
4,6,LMM-1,4,10.625,1.4451787663353854,27.52612359744657,3.3930925491796224,0.3592321119855578,0.21619564544088193
4,6,LMM-2,4,10.25,1.396921217853351,23.89034395052157,3.4602099091302723,0.3883838449036782,0.23412240367928353
4,8,LMM-1,4,10.1875,1.291498644985739,27.557424890289674,2.2377146398427628,0.25508923207521716,0.15228914796384022
4,8,LMM-2,4,10.25,1.334634781503914,23.072603308340103,2.0785210710612936,0.2884469521499311,0.17015333014374123
5,2,LMM-1,4,12.375,1.243734296383275,29.90410955161177,3.897975439162376,0.7855140675213435,0.033220815864248646
5,2,LMM-2,4,12.375,1.243734296383275,29.90410955161177,3.897975439162376,0.7855140675213435,0.033220815864248646
5,4,LMM-1,4,12.75,1.479019945774904,33.46681908401813,4.881915577038824,0.5302226636331256,0.0661421391841748
5,4,LMM-2,4,12.75,1.479019945774904,22.455396250301735,4.62230940519991,0.5625378253494207,0.060817400004292
5,6,LMM-1,4,12.541666666666666,1.02993392452569,32.554156655292275,3.781473690315506,0.4060966156478542,0.055009894199921215
5,6,LMM-2,4,12.458333333333334,1.063112568514423,29.52778486950745,3.6000415524903198,0.4291564219591394,0.05106695002732599
5,8,LMM-1,4,12.6875,1.341931909598993,34.646924863355075,4.702444590735274,0.24701268687219954,0.06343029382897816
5,8,LMM-2,4,12.65625,1.3091475041033382,29.606038277065704,4.21896636985985,0.2887298241285071,0.057302040138193
6,2,LMM-1,4,11.875,2.011684617428885,29.438271698823822,6.174591982663438,0.7875450809293113,0.05136767829756823
6,2,LMM-2,4,11.875,2.011684617428885,29.438271698823822,6.174591982663438,0.7875450809293113,0.05136767829756823
6,4,LMM-1,4,12.75,2.165063509461097,34.30319813400975,6.928507261795124,0.529584327061108,0.09140502083985894
6,4,LMM-2,4,12.75,2.165063509461097,23.247135598343977,6.690063721630642,0.561418175447118,0.08592441803249466
6,6,LMM-1,4,10.708333333333334,2.0829166249916646,31.25293689640483,7.12276494825734,0.29475452188692824,0.19778356379189574
6,6,LMM-2,4,10.708333333333334,2.0829166249916646,27.753592473804563,6.537126584232316,0.32650825213956136,0.2121408183237175
6,8,LMM-1,4,12.34375,2.0182274865584406,36.11552958293602,7.616610702755262,0.2233899746928235,0.09416956793292644
6,8,LMM-2,4,12.34375,2.0182274865584406,30.24268562396145,6.9305200770806055,0.2810920381661574,0.0969587716413642
7,2,LMM-1,4,15.625,2.858649156507318,41.11512566339394,3.581947479637856,0.5176110000997427,0.2993611615100297
7,2,LMM-2,4,15.625,2.858649156507318,41.11512566339394,3.581947479637856,0.5176110000997427,0.2993611615100297
7,4,LMM-1,4,16.875,2.2465250944514286,44.52996444518507,5.838163109337776,0.4179128552172576,0.053376989780875086
7,4,LMM-2,4,16.875,2.2465250944514286,33.09141279210394,5.701954450399404,0.457628453988807,0.05212875461662814
7,6,LMM-1,4,15.125,3.085303424660567,44.47932814949913,6.137819574710699,0.17086230111278053,0.10952507046885443
7,6,LMM-2,4,15.125,3.085303424660567,40.43858918574986,5.59394477066634,0.20189180399768591,0.1261320453191222
7,8,LMM-1,4,16.84375,1.4852793297895182,50.27955428636934,4.648428999711202,0.07309567863867579,0.04993492198681094
7,8,LMM-2,4,16.84375,1.4852793297895182,43.26969556445642,4.391612857471674,0.1079413728703903,0.07037695890067833
8,2,LMM-1,4,10.875,1.0825317547305484,25.831148462548594,4.028419398139578,0.8137598143614587,0.03520860578544689
8,2,LMM-2,4,10.75,1.25,25.531166518274595,4.406559545524671,0.8161521790818281,0.03829052355153247
8,4,LMM-1,4,11.25,1.14564392373896,28.5912347762635,4.472685011322319,0.6051542225368107,0.06908874037307992
8,4,LMM-2,4,11.25,1.14564392373896,19.061753955715425,2.8775482000220713,0.632325965256914,0.06403366529554819
8,6,LMM-1,4,10.583333333333334,1.455354099714415,26.744153517743822,5.085824957221657,0.4955604903479128,0.0813493395246001
8,6,LMM-2,4,10.666666666666666,1.5456030825826168,24.37372468396386,5.403788904033983,0.5100679968120336,0.08614658480077393
8,8,LMM-1,4,10.8125,1.1541365820387117,28.697092871442543,4.877477117038985,0.33126785128280817,0.0842844048171356
8,8,LMM-2,4,10.46875,1.5216536029924814,22.666739182076633,5.2785902352395695,0.41213967224901554,0.0920732350107263
9,2,LMM-1,4,12.875,1.4306903927824497,31.267693367766736,4.730299578473184,0.7739048731958257,0.03949142520068782
9,2,LMM-2,4,12.875,1.4306903927824497,31.267693367766736,4.730299578473184,0.7739048731958257,0.03949142520068782
9,4,LMM-1,4,12.375,1.6345871038277526,31.793861690282625,5.438042833849245,0.5584733486281818,0.07041398637392322
9,4,LMM-2,4,12.375,1.6345871038277526,20.87883243052431,5.365298582773803,0.5889867733680492,0.07005830332775742
9,6,LMM-1,4,13.166666666666668,1.1902380714238088,34.86463827872748,4.495101162274843,0.35928179054543663,0.057851977907880735
9,6,LMM-2,4,13.125,1.1509356097444279,31.45125823217502,4.31933890939444,0.39527117865135997,0.06021460247128271
9,8,LMM-1,4,12.53125,1.58945499700369,35.168300948498384,5.6800442321470275,0.22574941350908484,0.06517073612186056
9,8,LMM-2,4,12.53125,1.6114216355442172,29.36259750524654,5.327227487670068,0.2879712462894767,0.06868041775833866
10,2,LMM-1,4,15.75,3.3634060117684275,36.28741613017647,8.22472681677919,0.7539870253839177,0.05937663986174369
10,2,LMM-2,4,15.75,3.3634060117684275,36.159639629922324,8.152125339954903,0.7556845862242518,0.05840259293991784
10,4,LMM-1,4,15.75,3.344772040064913,37.64683266308283,8.421405717397857,0.52573691923368,0.09864112039356684
10,4,LMM-2,4,12.375,1.4306903927824497,19.522553431303937,1.498538107569777,0.6431399956440553,0.042515649184075625
10,6,LMM-1,4,14.583333333333332,2.9592134840941173,36.69172138870434,8.082328284795338,0.3625090242030734,0.10940373781744461
10,6,LMM-2,4,13.083333333333332,2.829654474391608,29.24275706142904,7.4255669492069325,0.44830775559251385,0.09714351611683804
10,8,LMM-1,4,15.65625,2.494329506600922,40.28040884895242,7.408265950456391,0.20791935040414583,0.08809453231478631
10,8,LMM-2,4,12.84375,2.1090856282996193,27.712944788196225,5.591190560013491,0.3356570272283664,0.07818249147344133
11,2,LMM-1,4,11.125,2.433490291741473,27.416117156798524,7.224948230331752,0.8044835641461294,0.05804226334253489
11,2,LMM-2,4,11.125,2.433490291741473,27.416117156798524,7.224948230331752,0.8044835641461294,0.05804226334253489
11,4,LMM-1,4,12.0,3.2596012026013246,31.194517177668253,9.9936559617282,0.5778180552342921,0.12397791655803317
11,4,LMM-2,4,12.0,3.2596012026013246,22.983682744510315,7.282220504234625,0.5997429466289085,0.11329395706840904
11,6,LMM-1,4,11.125,2.433490291741473,30.237145721039802,8.40591817527398,0.43293195450861843,0.13232129283801722
11,6,LMM-2,4,11.125,2.433490291741473,26.897158446552165,7.950706492674314,0.46763256022858113,0.12736961640216307
11,8,LMM-1,4,11.09375,2.572958839060586,31.844292612934712,9.155794596107524,0.23903645152177225,0.17642863384275292
11,8,LMM-2,4,11.09375,2.572958839060586,26.633047432786142,8.650837209584376,0.27464807072146596,0.19472939392774488
12,2,LMM-1,4,10.75,1.8200274723201295,25.26627570056916,4.568592502041277,0.8226953890866664,0.03527836469585018
12,2,LMM-2,4,10.75,1.8200274723201295,25.26627570056916,4.568592502041277,0.8226953890866664,0.03527836469585018
12,4,LMM-1,4,10.75,2.0155644370746373,26.384656007991133,5.474828258716043,0.6366497542195061,0.07458430347420252
12,4,LMM-2,4,10.75,2.0155644370746373,18.300639341927543,3.2498929608401004,0.658669555876855,0.06807752427287928
12,6,LMM-1,4,11.125,1.664060462309655,28.130229545254686,4.804282415972976,0.4688005138579089,0.07810701710585732
12,6,LMM-2,4,11.0,1.6115899671511433,25.00639274493155,4.558855463865446,0.4952390602937551,0.07564436224070303
12,8,LMM-1,4,11.0,1.9921721813136535,28.555205321861216,5.6386062203892084,0.33730437190494167,0.08554978086986037
12,8,LMM-2,4,10.8125,1.898807191370414,23.441282940013217,5.347200798666253,0.38766218668674324,0.09041040264093371
13,2,LMM-1,4,8.875,1.4737282653189494,21.36505203208001,4.086814511309599,0.8478225637666967,0.035498345440528226
13,2,LMM-2,4,8.75,1.6770509831248424,21.06386167128994,4.591951836829218,0.8503734968360676,0.03979939423022128
